NodeId;EmissionTypeId;VariableId;Value;Percentage;Year;Period
A4;SEWERS;N;0.03112252;0;2010;2
A4;SEWERS;P;0.00316674;0;2010;1
A4;SEWERS;P;0.00316674;0;2010;2
A4;STONE;N;2.18609008;0;2010;1
A4;STONE;N;2.18609008;0;2010;2
A4;STONE;P;0.19914475;0;2010;1
A4;STONE;P;0.19914475;0;2010;2
A5;AGRIC;N;0.04716466;0;2010;1
A5;AGRIC;N;0.04716466;0;2010;2
A5;AGRIC;P;0.00332134;0;2010;1
A5;AGRIC;P;0.00332134;0;2010;2
A5;ATM;Q;0.04473564;0;2010;2
A5;ATM;Q;0.04945254;0;2010;1
A5;CONSTR;N;0.01000991;0;2010;1
A5;CONSTR;N;0.01000991;0;2010;2
A5;CONSTR;P;0.00145263;0;2010;1
A5;CONSTR;P;0.00145263;0;2010;2
A5;DRAIN;Q;0.04406215;0;2010;2
A5;DRAIN;Q;0.21785938;0;2010;1
A5;DRAIN0;Q;0.00000023;0;2010;2
A5;EVAP;Q;-0.06550868;0;2010;2
A5;EVAP;Q;-0.01616041;0;2010;1
A5;INFIL;Q;-0.15547963;0;2010;2
A5;INFIL;Q;-0.02427973;0;2010;1
A5;REMAIN;N;0.23269476;0;2010;1
A5;REMAIN;N;0.23269476;0;2010;2
A5;SEEP;Q;0.00004432;0;2010;1
A5;SEEP;Q;0.00004444;0;2010;2
A5;SEWERS;BOD;0.04902037;0;2010;1
A5;SEWERS;BOD;0.04902037;0;2010;2
A5;SEWERS;N;0.00363113;0;2010;1
A5;SEWERS;N;0.00363113;0;2010;2
A5;SEWERS;P;0.00051297;0;2010;1
A5;SEWERS;P;0.00051297;0;2010;2
A5;STONE;N;1.51887564;0;2010;1
A5;STONE;N;1.51887564;0;2010;2
A5;STONE;P;0.17966874;0;2010;1
A5;STONE;P;0.17966874;0;2010;2
A6;AGRIC;N;0.05582445;0;2010;1
A6;AGRIC;N;0.05582445;0;2010;2
A6;AGRIC;P;0.00451241;0;2010;1
A6;AGRIC;P;0.00451241;0;2010;2
A6;ATM;Q;0.02066064;0;2010;2
A6;ATM;Q;0.02283923;0;2010;1
A6;CONSTR;N;0.00340885;0;2010;1
A6;CONSTR;N;0.00340885;0;2010;2
A6;CONSTR;P;0.00049393;0;2010;1
A6;CONSTR;P;0.00049393;0;2010;2
A6;DRAIN;Q;0.06781805;0;2010;2
A6;DRAIN;Q;0.32212651;0;2010;1
A6;EVAP;Q;-0.03025474;0;2010;2
A6;EVAP;Q;-0.00746377;0;2010;1
A6;INFIL;Q;-0.10569837;0;2010;2
A6;INFIL;Q;-0.00573864;0;2010;1
A6;REMAIN;N;0.0169635;0;2010;1
A6;REMAIN;N;0.0169635;0;2010;2
A6;SEEP;Q;0.00254166;0;2010;1
A6;SEEP;Q;0.006228;0;2010;2
A6;SEWERS;BOD;0.08712166;0;2010;1
A6;SEWERS;BOD;0.08712166;0;2010;2
A6;SEWERS;N;0.00645345;0;2010;1
A6;SEWERS;N;0.00645345;0;2010;2
A6;SEWERS;P;0.00107506;0;2010;1
A6;SEWERS;P;0.00107506;0;2010;2
A6;STONE;N;1.82150192;0;2010;1
A6;STONE;N;1.82150192;0;2010;2
A6;STONE;P;0.14771046;0;2010;1
A6;STONE;P;0.14771046;0;2010;2
A7;AGRIC;N;0.07975787;0;2010;1
A7;AGRIC;N;0.07975787;0;2010;2
A7;AGRIC;P;0.00628034;0;2010;1
A7;AGRIC;P;0.00628034;0;2010;2
A7;ATM;Q;0.0418574;0;2010;2
A7;ATM;Q;0.04627083;0;2010;1
A7;CONSTR;N;0.00595626;0;2010;1
A7;CONSTR;N;0.00595626;0;2010;2
A7;CONSTR;P;0.00086935;0;2010;1
A7;CONSTR;P;0.00086935;0;2010;2
A7;DRAIN;Q;0.05572453;0;2010;2
A7;DRAIN;Q;0.40543818;0;2010;1
A7;DRAIN0;Q;0.00008692;0;2010;2
A7;EVAP;Q;-0.06129409;0;2010;2
A7;EVAP;Q;-0.01512083;0;2010;1
A7;INFIL;Q;-0.16966759;0;2010;2
A7;INFIL;Q;-0.01134074;0;2010;1
A7;REMAIN;N;0.03648187;0;2010;1
A7;REMAIN;N;0.03648187;0;2010;2
A7;SEEP;Q;0.0012206;0;2010;1
A7;SEEP;Q;0.00126238;0;2010;2
A7;SEWERS;BOD;0.0682377;0;2010;1
A7;SEWERS;BOD;0.0682377;0;2010;2
A7;SEWERS;N;0.00505464;0;2010;1
A7;SEWERS;N;0.00505464;0;2010;2
A7;SEWERS;P;0.00081101;0;2010;1
A7;SEWERS;P;0.00081101;0;2010;2
A7;STONE;N;2.60680984;0;2010;1
A7;STONE;N;2.60680984;0;2010;2
A7;STONE;P;0.21253837;0;2010;1
A7;STONE;P;0.21253837;0;2010;2
A8;AGRIC;N;0.37270749;0;2010;1
A8;AGRIC;N;0.37270749;0;2010;2
A8;AGRIC;P;0.02205689;0;2010;1
A8;AGRIC;P;0.02205689;0;2010;2
A8;ATM;Q;0.04274201;0;2010;2
A8;ATM;Q;0.04724849;0;2010;1
A8;CONSTR;N;0.01411892;0;2010;1
A8;CONSTR;N;0.01411892;0;2010;2
A8;CONSTR;P;0.00204965;0;2010;1
A8;CONSTR;P;0.00204965;0;2010;2
A8;DRAIN;Q;0.13369652;0;2010;2
A8;DRAIN;Q;0.48475613;0;2010;1
A8;DRAIN0;Q;0.00013969;0;2010;2
A8;EVAP;Q;-0.06258958;0;2010;2
A8;EVAP;Q;-0.01544039;0;2010;1
A8;INFIL;Q;-0.11065335;0;2010;2
A8;INFIL;Q;-0.02379583;0;2010;1
A8;REMAIN;N;0.04307276;0;2010;1
A8;REMAIN;N;0.04307276;0;2010;2
A8;SEEP;Q;0.01344803;0;2010;1
A8;SEEP;Q;0.01607905;0;2010;2
A8;SEWERS;BOD;0.26971605;0;2010;1
A8;SEWERS;BOD;0.26971605;0;2010;2
A8;SEWERS;N;0.01997897;0;2010;1
A8;SEWERS;N;0.01997897;0;2010;2
A8;SEWERS;P;0.00100364;0;2010;1
A8;SEWERS;P;0.00100364;0;2010;2
A8;STONE;N;2.49417981;0;2010;1
A8;STONE;N;2.49417981;0;2010;2
A8;STONE;P;0.31204464;0;2010;1
A8;STONE;P;0.31204464;0;2010;2
A9;AGRIC;N;0.18115949;0;2010;1
A9;AGRIC;N;0.18115949;0;2010;2
A9;AGRIC;P;0.01194898;0;2010;1
A9;AGRIC;P;0.01194898;0;2010;2
A9;ATM;Q;0.05456909;0;2010;2
A9;ATM;Q;0.0603228;0;2010;1
A9;CONSTR;N;0.02141507;0;2010;1
A9;CONSTR;N;0.02141507;0;2010;2
A9;CONSTR;P;0.00315783;0;2010;1
A9;CONSTR;P;0.00315783;0;2010;2
A9;DRAIN;Q;0.22580498;0;2010;2
A9;DRAIN;Q;0.72661318;0;2010;1
A9;DRAIN0;Q;0.00002685;0;2010;1
A9;DRAIN0;Q;0.00043784;0;2010;2
A9;EVAP;Q;-0.07990844;0;2010;2
A9;EVAP;Q;-0.01971307;0;2010;1
A9;INFIL;Q;-0.07034236;0;2010;2
A9;INFIL;Q;-0.01034085;0;2010;1
A9;REMAIN;N;0.07840627;0;2010;1
A9;REMAIN;N;0.07840627;0;2010;2
A9;SEEP;Q;0.03384641;0;2010;1
A9;SEEP;Q;0.03651435;0;2010;2
A9;SEWERS;BOD;2.06620481;0;2010;1
A9;SEWERS;BOD;2.06620481;0;2010;2
A9;SEWERS;N;0.15305218;0;2010;1
A9;SEWERS;N;0.15305218;0;2010;2
A9;SEWERS;P;0.00249019;0;2010;1
A9;SEWERS;P;0.00249019;0;2010;2
A9;STONE;N;2.54764712;0;2010;1
A9;STONE;N;2.54764712;0;2010;2
A9;STONE;P;0.33347606;0;2010;1
A9;STONE;P;0.33347606;0;2010;2
A10;AGRIC;N;0.0456812;0;2010;4
A10;AGRIC;N;0.0456812;0;2010;3
A10;AGRIC;P;0.00368159;0;2010;4
A10;AGRIC;P;0.00368159;0;2010;3
A10;ATM;Q;0.0120743;0;2010;3
A10;ATM;Q;0.01333773;0;2010;4
A10;CONSTR;N;0.01767955;0;2010;4
A10;CONSTR;N;0.01767955;0;2010;3
A10;CONSTR;P;0.00255983;0;2010;4
A10;CONSTR;P;0.00255983;0;2010;3
A10;DRAIN;Q;0.27862499;0;2010;3
A10;DRAIN;Q;0.58229641;0;2010;4
A10;EVAP;Q;-0.01681701;0;2010;3
A10;EVAP;Q;-0.0035515;0;2010;4
A10;INFIL;Q;-0.0055177;0;2010;3
A10;INFIL;Q;-0.00311053;0;2010;4
A10;REMAIN;N;0.0157673;0;2010;4
A10;REMAIN;N;0.0157673;0;2010;3
A10;SEEP;Q;0.00291724;0;2010;4
A10;SEEP;Q;0.01445555;0;2010;3
A10;SEWERS;BOD;0.98893351;0;2010;4
A10;SEWERS;BOD;0.98893351;0;2010;3
A10;SEWERS;N;0.07325433;0;2010;4
A10;SEWERS;N;0.07325433;0;2010;3
A10;SEWERS;P;0.00465803;0;2010;4
A10;SEWERS;P;0.00465803;0;2010;3
A10;STONE;N;2.46692686;0;2010;4
A10;STONE;N;2.46692686;0;2010;3
A10;STONE;P;0.2035308;0;2010;4
A10;STONE;P;0.2035308;0;2010;3
A2;AGRIC;N;0.1449337;0;2010;4
A2;AGRIC;N;0.1449337;0;2010;3
A2;AGRIC;P;0.01157446;0;2010;4
A2;AGRIC;P;0.01157446;0;2010;3
A2;ATM;Q;0.02987986;0;2010;3
A2;ATM;Q;0.03300856;0;2010;4
A2;CONSTR;N;0.2297404;0;2010;4
A2;CONSTR;N;0.2297404;0;2010;3
A2;CONSTR;P;0.0332676;0;2010;4
A2;CONSTR;P;0.0332676;0;2010;3
A2;DRAIN;Q;0.56264304;0;2010;3
A2;DRAIN;Q;1.23934145;0;2010;4
A2;EVAP;Q;-0.04165381;0;2010;3
A2;EVAP;Q;-0.00882384;0;2010;4
A2;INFIL;Q;-0.01711041;0;2010;3
A2;INFIL;Q;-0.007664;0;2010;4
A2;REMAIN;N;0.04315508;0;2010;4
A2;REMAIN;N;0.04315508;0;2010;3
A2;SEEP;Q;0.01536226;0;2010;4
A2;SEEP;Q;0.03809756;0;2010;3
A2;SEWERS;BOD;1.36118562;0;2010;4
A2;SEWERS;BOD;1.36118562;0;2010;3
A2;SEWERS;N;0.10082856;0;2010;4
A2;SEWERS;N;0.10082856;0;2010;3
A2;SEWERS;P;0.00247949;0;2010;4
A2;SEWERS;P;0.00247949;0;2010;3
A2;STONE;N;3.62989517;0;2010;4
A2;STONE;N;3.62989517;0;2010;3
A2;STONE;P;0.27790707;0;2010;4
A2;STONE;P;0.27790707;0;2010;3
A3;AGRIC;N;0.07095799;0;2010;4
A3;AGRIC;N;0.07095799;0;2010;3
A3;AGRIC;P;0.00571253;0;2010;4
A3;AGRIC;P;0.00571253;0;2010;3
A3;ATM;Q;0.0107956;0;2010;3
A3;ATM;Q;0.01192615;0;2010;4
A3;CONSTR;N;0.08462683;0;2010;4
A3;CONSTR;N;0.08462683;0;2010;3
A3;CONSTR;P;0.01225444;0;2010;4
A3;CONSTR;P;0.01225444;0;2010;3
A3;DRAIN;Q;0.25283044;0;2010;3
A3;DRAIN;Q;0.4270397;0;2010;4
A3;EVAP;Q;-0.01503692;0;2010;3
A3;EVAP;Q;-0.00317592;0;2010;4
A3;INFIL;Q;-0.00371678;0;2010;3
A3;INFIL;Q;-0.0011559;0;2010;4
A3;REMAIN;N;0.01519044;0;2010;4
A3;REMAIN;N;0.01519044;0;2010;3
A3;SEEP;Q;0.00456527;0;2010;4
A3;SEEP;Q;0.01461782;0;2010;3
A3;SEWERS;BOD;2.25232495;0;2010;4
A3;SEWERS;BOD;2.25232495;0;2010;3
A3;SEWERS;N;0.16683891;0;2010;4
