gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000004137,1965-12-27,GMW000000037630,B26F0001,4,-267.06,-268.06,-3.02,265.04,,,0.21,,0.006,LT,,9
GAR000000004138,1965-11-09,GMW000000037630,B26F0001,4,-267.06,-268.06,-3.02,265.04,0.0045,LT,,,,,,10
GAR000000004139,1980-09-11,GMW000000037630,B26F0001,4,-267.06,-268.06,-3.02,265.04,0.02,LT,1.32,,0.006,LT,,200
GAR000000004140,1997-10-03,GMW000000037630,B26F0001,4,-267.06,-268.06,-3.02,265.04,0.11,LT,1.47,,0.006,LT,0.6,195
GAR000000004141,2003-01-21,GMW000000037630,B26F0001,4,-267.06,-268.06,-3.02,265.04,0.11,LT,1.47,,0.006,LT,0.5,185
GAR000000004316,1994-11-28,GMW000000037610,B26B0109,7,-265.18,-266.18,-4.2,261.98,0.04,,2.64,,0.01,LT,3.4,3570
GAR000000004317,1998-11-11,GMW000000037610,B26B0109,7,-265.18,-266.18,-4.2,261.98,0.11,LT,1.24,,0.0091,,0.9,1300
GAR000000050609,2021-12-07,GMW000000041678,B10G0016,7,-254.66,-255.66,0.26,255.92,0.05,LT,4.58,,0.01,LT,4.8,513.38
GAR000000064706,2024-10-11,GMW000000041678,B10G0016,7,-254.66,-255.66,0.26,255.92,0.05,LT,4.64,,0.01,LT,7.43,559.49
GAR000000005349,1997-09-19,GMW000000011600,B21C0171,7,-251.4,-253.4,0.05,253.45,0.11,LT,10.11,,0.006,LT,16,200
GAR000000005262,1997-09-19,GMW000000011642,B21B0263,9,-248.52,-250.52,-0.52,250.0,0.11,LT,7.7,,0.006,LT,5.6,2000
GAR000000005460,1994-11-29,GMW000000011636,B26A0244,7,-249.48,-250.48,-4.63,245.85,0.01,LT,2.17,,0.01,LT,25,3200
GAR000000004314,1994-11-28,GMW000000037610,B26B0109,6,-247.18,-248.18,-4.2,243.98,0.04,,0.44,,0.01,LT,3.7,16
GAR000000004315,1998-11-11,GMW000000037610,B26B0109,6,-247.18,-248.18,-4.2,243.98,0.11,LT,0.66,,0.006,LT,1.6,22
GAR000000005157,1937-02-18,GMW000000037720,B21A0038,6,-245.01,-246.01,0.84,246.85,,,,,,,,2404
GAR000000005158,1985-09-04,GMW000000037720,B21A0038,6,-245.01,-246.01,0.84,246.85,0.02,LT,4.66,,0.006,LT,,810
