krw_code,station_name,x_rd,y_rd,lat,lon,year,Ntot_zomergem_mgL,Ptot_zomergem_mgL
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,1995,1.33,0.13
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,1996,1.59,0.134
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,1997,2.37,0.434
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,1998,3.46,0.446
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,1999,3.32,0.447
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2000,2.44,0.146
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2001,1.41,0.136
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2002,1.41,0.136
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2003,1.41,0.136
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2004,1.41,0.136
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2005,1.25,0.117
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2006,1.14,0.102
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2007,0.95,0.085
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2008,0.95,0.085
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2009,0.95,0.083
NL02L1,Linde en Noordwoldervaart,203138.7024322254,544740.3616688021,52.88764984885095,6.10241567995934,2010,0.95,0.083
