locationId,parameter,date,value_mgL,units
NL02_0079,Ntot,1990-01-08,7.31,mg/l
NL02_0079,Ntot,1990-02-07,11.5,mg/l
NL02_0079,Ntot,1990-03-07,7.9,mg/l
NL02_0079,Ntot,1990-04-11,5.16,mg/l
NL02_0079,Ntot,1990-05-10,3.55,mg/l
NL02_0079,Ntot,1990-06-08,3.32,mg/l
NL02_0079,Ntot,1990-07-25,3.05,mg/l
NL02_0079,Ntot,1990-08-08,2.31,mg/l
NL02_0079,Ntot,1990-09-19,3.74,mg/l
NL02_0079,Ntot,1990-10-10,5.26,mg/l
NL02_0079,Ntot,1990-11-13,5.88,mg/l
NL02_0079,Ntot,1990-12-10,10.69,mg/l
NL02_0079,Ntot,1991-01-09,13,mg/l
NL02_0079,Ntot,1991-02-11,31.44,mg/l
NL02_0079,Ntot,1991-03-06,7.45,mg/l
NL02_0079,Ntot,1991-04-08,5.89,mg/l
NL02_0079,Ntot,1991-05-07,4.26,mg/l
NL02_0079,Ntot,1991-06-19,3.3,mg/l
NL02_0079,Ntot,1991-07-10,6.06,mg/l
NL02_0079,Ntot,1991-08-13,3.79,mg/l
NL02_0079,Ntot,1991-09-05,2.89,mg/l
NL02_0079,Ntot,1991-10-08,5.12,mg/l
NL02_0079,Ntot,1991-11-06,4.99,mg/l
NL02_0079,Ntot,1991-12-11,7.49,mg/l
NL02_0079,Ntot,1992-01-21,7.97,mg/l
NL02_0079,Ntot,1992-02-12,6.85,mg/l
NL02_0079,Ntot,1992-03-11,7.4,mg/l
NL02_0079,Ntot,1992-04-09,11.05,mg/l
NL02_0079,Ntot,1992-05-13,6.4,mg/l
NL02_0079,Ntot,1992-06-11,4.08,mg/l
NL02_0079,Ntot,1992-07-09,11.87,mg/l
NL02_0079,Ntot,1992-08-12,4.22,mg/l
NL02_0079,Ntot,1992-09-16,3.98,mg/l
NL02_0079,Ntot,1992-10-13,4.97,mg/l
NL02_0079,Ntot,1992-11-17,12.3,mg/l
NL02_0079,Ntot,1992-12-09,12.8,mg/l
NL02_0079,Ntot,1993-01-14,13.28,mg/l
NL02_0079,Ntot,1993-02-16,9.08,mg/l
NL02_0079,Ntot,1993-03-10,10.93,mg/l
NL02_0079,Ntot,1993-04-15,5.84,mg/l
NL02_0079,Ntot,1993-05-12,3.84,mg/l
NL02_0079,Ntot,1993-06-10,3.59,mg/l
NL02_0079,Ntot,1993-07-15,3.67,mg/l
NL02_0079,Ntot,1993-08-17,3.3,mg/l
NL02_0079,Ntot,1993-09-15,5.11,mg/l
NL02_0079,Ntot,1993-10-14,6.59,mg/l
NL02_0079,Ntot,1993-11-16,8.56,mg/l
NL02_0079,Ntot,1993-12-09,7.85,mg/l
NL02_0079,Ntot,1994-01-20,10.37,mg/l
NL02_0079,Ntot,1994-02-08,9.06,mg/l
NL02_0079,Ntot,1994-03-10,7.82,mg/l
NL02_0079,Ntot,1994-04-20,5.84,mg/l
NL02_0079,Ntot,1994-05-18,4.17,mg/l
NL02_0079,Ntot,1994-06-08,5.03,mg/l
NL02_0079,Ntot,1994-07-14,4.23,mg/l
NL02_0079,Ntot,1994-08-12,3.78,mg/l
NL02_0079,Ntot,1994-09-15,3.75,mg/l
NL02_0079,Ntot,1994-10-17,5.19,mg/l
NL02_0079,Ntot,1994-11-08,6.87,mg/l
NL02_0079,Ntot,1994-12-08,7.15,mg/l
NL02_0079,Ntot,1995-01-10,8.66,mg/l
NL02_0079,Ntot,1995-02-13,6.64,mg/l
NL02_0079,Ntot,1995-03-14,7.22,mg/l
NL02_0079,Ntot,1995-04-13,5.82,mg/l
NL02_0079,Ntot,1995-05-09,3.53,mg/l
NL02_0079,Ntot,1995-06-15,5.34,mg/l
NL02_0079,Ntot,1995-07-11,3.9,mg/l
NL02_0079,Ntot,1995-08-15,2.53,mg/l
NL02_0079,Ntot,1995-09-12,4.09,mg/l
NL02_0079,Ntot,1995-10-10,4.36,mg/l
NL02_0079,Ntot,1995-11-07,5.15,mg/l
NL02_0079,Ntot,1995-12-04,7.03,mg/l
NL02_0079,Ntot,1996-01-31,7.86,mg/l
NL02_0079,Ntot,1996-02-28,8.35,mg/l
NL02_0079,Ntot,1996-03-27,6.45,mg/l
NL02_0079,Ntot,1996-04-24,5.26,mg/l
NL02_0079,Ntot,1996-05-23,5.41,mg/l
NL02_0079,Ntot,1996-06-20,4.1,mg/l
NL02_0079,Ntot,1996-07-18,2.46,mg/l
NL02_0079,Ntot,1996-08-27,4.32,mg/l
NL02_0079,Ntot,1996-09-19,4.55,mg/l
NL02_0079,Ntot,1996-10-17,5.64,mg/l
NL02_0079,Ntot,1996-11-14,39.93,mg/l
NL02_0079,Ntot,1996-12-05,16.72,mg/l
NL02_0079,Ntot,1997-01-23,10.3,mg/l
NL02_0079,Ntot,1997-02-18,10.8,mg/l
NL02_0079,Ntot,1997-03-20,7.5,mg/l
NL02_0079,Ntot,1997-04-17,5.4,mg/l
NL02_0079,Ntot,1997-05-20,3.63,mg/l
NL02_0079,Ntot,1997-06-17,2.5,mg/l
NL02_0079,Ntot,1997-07-15,2.9,mg/l
NL02_0079,Ntot,1997-08-19,2.3,mg/l
NL02_0079,Ntot,1997-09-15,5.19,mg/l
NL02_0079,Ntot,1997-10-16,4.3,mg/l
NL02_0079,Ntot,1997-11-10,5.39,mg/l
NL02_0079,Ntot,1997-12-11,6.35,mg/l
NL02_0079,Ntot,1998-01-22,12.77,mg/l
NL02_0079,Ntot,1998-02-19,8.39,mg/l
NL02_0079,Ntot,1998-03-17,9.39,mg/l
NL02_0079,Ntot,1998-04-14,9.59,mg/l
NL02_0079,Ntot,1998-05-18,4.82,mg/l
NL02_0079,Ntot,1998-06-18,3.85,mg/l
NL02_0079,Ntot,1998-07-16,3.43,mg/l
NL02_0079,Ntot,1998-08-20,4.68,mg/l
NL02_0079,Ntot,1998-09-17,6.29,mg/l
NL02_0079,Ntot,1998-09-28,6.59,mg/l
NL02_0079,Ntot,1998-11-19,7.36,mg/l
NL02_0079,Ntot,1998-12-17,6.84,mg/l
NL02_0079,Ntot,1999-01-05,6.4,mg/l
NL02_0079,Ntot,1999-02-02,5.2,mg/l
NL02_0079,Ntot,1999-03-02,5.4,mg/l
NL02_0079,Ntot,1999-04-06,5.4,mg/l
NL02_0079,Ntot,1999-05-04,2.8,mg/l
NL02_0079,Ntot,1999-06-01,2.7,mg/l
NL02_0079,Ntot,1999-07-06,2.3,mg/l
NL02_0079,Ntot,1999-08-03,2.1,mg/l
NL02_0079,Ntot,1999-09-07,1.9,mg/l
NL02_0079,Ntot,1999-10-05,3.9,mg/l
NL02_0079,Ntot,1999-11-02,3.2,mg/l
NL02_0079,Ntot,1999-12-07,6.8,mg/l
NL02_0079,Ntot,2000-01-26,6.1,mg/l
NL02_0079,Ntot,2000-02-24,6.4,mg/l
NL02_0079,Ntot,2000-03-23,5.7,mg/l
NL02_0079,Ntot,2000-04-20,3.7,mg/l
NL02_0079,Ntot,2000-05-17,2.5,mg/l
NL02_0079,Ntot,2000-05-18,2.5,mg/l
NL02_0079,Ntot,2000-06-14,3,mg/l
NL02_0079,Ntot,2000-06-15,3,mg/l
NL02_0079,Ntot,2000-07-12,3.4,mg/l
NL02_0079,Ntot,2000-07-13,3.4,mg/l
NL02_0079,Ntot,2000-08-09,2.3,mg/l
NL02_0079,Ntot,2000-08-10,2.3,mg/l
NL02_0079,Ntot,2000-09-07,2,mg/l
NL02_0079,Ntot,2000-10-05,4.8,mg/l
NL02_0079,Ntot,2000-11-02,5.6,mg/l
NL02_0079,Ntot,2000-11-30,5.5,mg/l
NL02_0079,Ntot,2001-01-04,6.6,mg/l
NL02_0079,Ntot,2001-02-01,6.4,mg/l
NL02_0079,Ntot,2001-02-27,6.2,mg/l
NL02_0079,Ntot,2001-03-27,5.2,mg/l
NL02_0079,Ntot,2001-04-24,4.4,mg/l
NL02_0079,Ntot,2001-05-22,3,mg/l
NL02_0079,Ntot,2001-06-19,2.6,mg/l
NL02_0079,Ntot,2001-07-17,2.1,mg/l
NL02_0079,Ntot,2001-08-14,3.7,mg/l
NL02_0079,Ntot,2001-09-11,3.7,mg/l
NL02_0079,Ntot,2001-10-09,4.5,mg/l
NL02_0079,Ntot,2001-11-05,4.8,mg/l
NL02_0079,Ntot,2001-12-04,5.6,mg/l
NL02_0079,Ntot,2002-01-15,5.8,mg/l
NL02_0079,Ntot,2002-02-12,6,mg/l
NL02_0079,Ntot,2002-03-14,4.6,mg/l
NL02_0079,Ntot,2002-04-09,3.5,mg/l
NL02_0079,Ntot,2002-05-07,4.3,mg/l
NL02_0079,Ntot,2002-06-04,2.3,mg/l
NL02_0079,Ntot,2002-07-01,2,mg/l
NL02_0079,Ntot,2002-07-31,2.4,mg/l
NL02_0079,Ntot,2002-08-27,3.1,mg/l
NL02_0079,Ntot,2002-09-24,2.7,mg/l
NL02_0079,Ntot,2002-10-21,4.4,mg/l
NL02_0079,Ntot,2002-11-19,6,mg/l
NL02_0079,Ntot,2002-12-19,3.2,mg/l
NL02_0079,Ntot,2003-01-13,6,mg/l
NL02_0079,Ntot,2003-02-11,5.8,mg/l
NL02_0079,Ntot,2003-03-11,3.6,mg/l
NL02_0079,Ntot,2003-04-08,3.5,mg/l
NL02_0079,Ntot,2003-05-07,2.8,mg/l
NL02_0079,Ntot,2003-06-03,3.4,mg/l
NL02_0079,Ntot,2003-07-01,1.6,mg/l
NL02_0079,Ntot,2003-07-29,2.1,mg/l
NL02_0079,Ntot,2003-08-26,1.7,mg/l
NL02_0079,Ntot,2003-09-23,1.7,mg/l
NL02_0079,Ntot,2003-10-21,2.5,mg/l
NL02_0079,Ntot,2003-11-18,2.9,mg/l
NL02_0079,Ntot,2003-12-02,5.1,mg/l
NL02_0079,Ntot,2004-01-15,7.7,mg/l
NL02_0079,Ntot,2004-02-10,7.2,mg/l
NL02_0079,Ntot,2004-03-09,5.8,mg/l
NL02_0079,Ntot,2004-04-06,4.2,mg/l
NL02_0079,Ntot,2004-05-10,2.1,mg/l
NL02_0079,Ntot,2004-05-26,1.9,mg/l
NL02_0079,Ntot,2004-06-29,2.8,mg/l
NL02_0079,Ntot,2004-07-27,3,mg/l
NL02_0079,Ntot,2004-08-24,4.3,mg/l
NL02_0079,Ntot,2004-09-21,3.8,mg/l
NL02_0079,Ntot,2004-10-12,3.5,mg/l
NL02_0079,Ntot,2004-11-16,5.6,mg/l
NL02_0079,Ntot,2004-12-13,5,mg/l
NL02_0079,Ntot,2005-01-19,6.4,mg/l
NL02_0079,Ntot,2005-02-15,6.7,mg/l
NL02_0079,Ntot,2005-03-15,5.8,mg/l
NL02_0079,Ntot,2005-04-12,3,mg/l
NL02_0079,Ntot,2005-05-10,2.1,mg/l
NL02_0079,Ntot,2005-06-07,3.4,mg/l
NL02_0079,Ntot,2005-07-05,1.9,mg/l
NL02_0079,Ntot,2005-08-02,1.6,mg/l
NL02_0079,Ntot,2005-08-30,2.4,mg/l
NL02_0079,Ntot,2005-09-26,1.7,mg/l
NL02_0079,Ntot,2005-10-26,3.8,mg/l
NL02_0079,Ntot,2005-11-21,4.4,mg/l
NL02_0079,Ntot,2005-12-12,5.7,mg/l
NL02_0079,Ntot,2006-01-17,6.3,mg/l
NL02_0079,Ntot,2006-02-14,5.4,mg/l
NL02_0079,Ntot,2006-03-14,6.3,mg/l
NL02_0079,Ntot,2006-04-11,6.2,mg/l
NL02_0079,Ntot,2006-05-09,2.4,mg/l
NL02_0079,Ntot,2006-06-06,2.2,mg/l
NL02_0079,Ntot,2006-07-04,1.7,mg/l
NL02_0079,Ntot,2006-08-01,1.7,mg/l
NL02_0079,Ntot,2006-08-28,2.1,mg/l
NL02_0079,Ntot,2006-09-26,2.2,mg/l
NL02_0079,Ntot,2006-10-24,3.5,mg/l
NL02_0079,Ntot,2006-11-21,4.4,mg/l
NL02_0079,Ntot,2006-12-18,5.1,mg/l
NL02_0079,Ntot,2007-01-22,6.9,mg/l
NL02_0079,Ntot,2007-01-23,6.9,mg/l
NL02_0079,Ntot,2007-02-19,4.7,mg/l
NL02_0079,Ntot,2007-02-20,4.7,mg/l
NL02_0079,Ntot,2007-03-19,5.4,mg/l
NL02_0079,Ntot,2007-03-20,5.4,mg/l
NL02_0079,Ntot,2007-04-16,3.5,mg/l
NL02_0079,Ntot,2007-04-17,3.5,mg/l
NL02_0079,Ntot,2007-05-13,2.1,mg/l
NL02_0079,Ntot,2007-05-14,2.1,mg/l
NL02_0079,Ntot,2007-06-11,1.7,mg/l
NL02_0079,Ntot,2007-06-12,1.7,mg/l
NL02_0079,Ntot,2007-07-09,3.2,mg/l
NL02_0079,Ntot,2007-07-10,3.2,mg/l
NL02_0079,Ntot,2007-08-06,2.9,mg/l
NL02_0079,Ntot,2007-08-07,2.9,mg/l
NL02_0079,Ntot,2007-09-03,2,mg/l
NL02_0079,Ntot,2007-09-04,2,mg/l
NL02_0079,Ntot,2007-10-01,3.4,mg/l
NL02_0079,Ntot,2007-10-02,3.4,mg/l
NL02_0079,Ntot,2007-10-29,3.8,mg/l
NL02_0079,Ntot,2007-10-30,3.8,mg/l
NL02_0079,Ntot,2007-11-26,4.4,mg/l
NL02_0079,Ntot,2007-11-27,4.4,mg/l
NL02_0079,Ntot,2007-12-16,5.5,mg/l
NL02_0079,Ntot,2007-12-17,5.5,mg/l
NL02_0079,Ntot,2008-01-22,4.3,mg/l
NL02_0079,Ntot,2008-02-19,4.6,mg/l
NL02_0079,Ntot,2008-03-18,4.5,mg/l
NL02_0079,Ntot,2008-04-15,3,mg/l
NL02_0079,Ntot,2008-05-14,1.6,mg/l
NL02_0079,Ntot,2008-06-10,2.6,mg/l
NL02_0079,Ntot,2008-07-08,1.5,mg/l
NL02_0079,Ntot,2008-08-05,2.7,mg/l
NL02_0079,Ntot,2008-09-02,2.8,mg/l
NL02_0079,Ntot,2008-09-29,1.9,mg/l
NL02_0079,Ntot,2008-10-27,3.7,mg/l
NL02_0079,Ntot,2008-11-25,4.7,mg/l
NL02_0079,Ntot,2008-12-09,4.5,mg/l
NL02_0079,Ntot,2009-01-12,6.1,mg/l
NL02_0079,Ntot,2009-02-02,5.9,mg/l
NL02_0079,Ntot,2009-03-02,5,mg/l
NL02_0079,Ntot,2009-03-30,4.2,mg/l
NL02_0079,Ntot,2009-04-27,3.2,mg/l
NL02_0079,Ntot,2009-05-25,2.1,mg/l
NL02_0079,Ntot,2009-06-22,1.6,mg/l
NL02_0079,Ntot,2009-07-28,1.8,mg/l
NL02_0079,Ntot,2009-08-17,1.7,mg/l
NL02_0079,Ntot,2009-09-21,2.2,mg/l
NL02_0079,Ntot,2009-10-12,2.2,mg/l
NL02_0079,Ntot,2009-11-09,3.4,mg/l
NL02_0079,Ntot,2009-12-07,5.5,mg/l
NL02_0079,Ntot,2010-01-26,5.2,mg/l
NL02_0079,Ntot,2010-02-23,5.6,mg/l
NL02_0079,Ntot,2010-03-23,4.1,mg/l
NL02_0079,Ntot,2010-04-20,3.6,mg/l
NL02_0079,Ntot,2010-05-18,3.5,mg/l
NL02_0079,Ntot,2010-06-14,2.7,mg/l
NL02_0079,Ntot,2010-07-13,2,mg/l
NL02_0079,Ntot,2010-08-10,1.5,mg/l
NL02_0079,Ntot,2010-09-07,2.9,mg/l
NL02_0079,Ntot,2010-10-05,4.2,mg/l
NL02_0079,Ntot,2010-11-01,4.3,mg/l
NL02_0079,Ntot,2010-11-30,5.9,mg/l
NL02_0079,Ntot,2010-12-21,6.2,mg/l
NL02_0079,Ntot,2011-01-11,5.2,mg/l
NL02_0079,Ntot,2011-01-20,5.5,mg/l
NL02_0079,Ntot,2011-02-03,4.6,mg/l
NL02_0079,Ntot,2011-02-15,5.6,mg/l
NL02_0079,Ntot,2011-03-03,5.3,mg/l
NL02_0079,Ntot,2011-03-17,4.9,mg/l
NL02_0079,Ntot,2011-03-28,2.9,mg/l
NL02_0079,Ntot,2011-04-14,3.2,mg/l
NL02_0079,Ntot,2011-04-28,1.7,mg/l
NL02_0079,Ntot,2011-05-12,2.2,mg/l
NL02_0079,Ntot,2011-05-25,2.3,mg/l
NL02_0079,Ntot,2011-06-09,1.8,mg/l
NL02_0079,Ntot,2011-06-22,2.1,mg/l
NL02_0079,Ntot,2011-07-08,2,mg/l
NL02_0079,Ntot,2011-07-20,2.7,mg/l
NL02_0079,Ntot,2011-08-02,2.3,mg/l
NL02_0079,Ntot,2011-08-18,3.4,mg/l
NL02_0079,Ntot,2011-09-02,3.1,mg/l
NL02_0079,Ntot,2011-09-14,4.3,mg/l
NL02_0079,Ntot,2011-09-27,3.7,mg/l
NL02_0079,Ntot,2011-10-12,4.5,mg/l
NL02_0079,Ntot,2011-10-27,4.9,mg/l
NL02_0079,Ntot,2011-11-09,5.2,mg/l
NL02_0079,Ntot,2011-11-22,4.5,mg/l
NL02_0079,Ntot,2011-12-07,5.3,mg/l
NL02_0079,Ntot,2011-12-14,5.5,mg/l
NL02_0079,Ntot,2012-01-04,4.2,mg/l
NL02_0079,Ntot,2012-01-17,5,mg/l
NL02_0079,Ntot,2012-02-01,5.5,mg/l
NL02_0079,Ntot,2012-02-16,6.2,mg/l
NL02_0079,Ntot,2012-02-29,4.7,mg/l
NL02_0079,Ntot,2012-03-12,4.6,mg/l
NL02_0079,Ntot,2012-03-28,4.2,mg/l
NL02_0079,Ntot,2012-04-13,3.6,mg/l
NL02_0079,Ntot,2012-04-25,2.8,mg/l
NL02_0079,Ntot,2012-05-07,2.9,mg/l
NL02_0079,Ntot,2012-05-23,2.4,mg/l
NL02_0079,Ntot,2012-06-06,2.2,mg/l
NL02_0079,Ntot,2012-06-20,1.9,mg/l
NL02_0079,Ntot,2012-07-04,2.4,mg/l
NL02_0079,Ntot,2012-07-18,3.4,mg/l
NL02_0079,Ntot,2012-08-01,2.8,mg/l
NL02_0079,Ntot,2012-08-16,2.9,mg/l
NL02_0079,Ntot,2012-08-29,2.8,mg/l
NL02_0079,Ntot,2012-09-12,2.7,mg/l
NL02_0079,Ntot,2012-09-25,3.4,mg/l
NL02_0079,Ntot,2012-10-10,3.3,mg/l
NL02_0079,Ntot,2012-10-24,4.7,mg/l
NL02_0079,Ntot,2012-11-07,4.6,mg/l
NL02_0079,Ntot,2012-11-20,4.7,mg/l
NL02_0079,Ntot,2012-12-05,4.8,mg/l
NL02_0079,Ntot,2012-12-11,4.9,mg/l
NL02_0079,Ntot,2013-01-03,4.7,mg/l
NL02_0079,Ntot,2013-01-16,5.7,mg/l
NL02_0079,Ntot,2013-02-07,4.9,mg/l
NL02_0079,Ntot,2013-02-13,4.3,mg/l
NL02_0079,Ntot,2013-02-27,5.2,mg/l
NL02_0079,Ntot,2013-03-13,4.5,mg/l
NL02_0079,Ntot,2013-03-27,4.7,mg/l
NL02_0079,Ntot,2013-04-09,3.5,mg/l
NL02_0079,Ntot,2013-04-25,2.7,mg/l
NL02_0079,Ntot,2013-05-07,2.2,mg/l
NL02_0079,Ntot,2013-05-22,2.9,mg/l
NL02_0079,Ntot,2013-06-05,2.2,mg/l
NL02_0079,Ntot,2013-06-19,2.3,mg/l
NL02_0079,Ntot,2013-07-03,2.6,mg/l
NL02_0079,Ntot,2013-07-17,1.8,mg/l
NL02_0079,Ntot,2013-07-31,1.8,mg/l
NL02_0079,Ntot,2013-08-15,1.5,mg/l
NL02_0079,Ntot,2013-08-28,1.7,mg/l
NL02_0079,Ntot,2013-09-11,1.8,mg/l
NL02_0079,Ntot,2013-09-25,2.2,mg/l
NL02_0079,Ntot,2013-10-09,2.1,mg/l
NL02_0079,Ntot,2013-10-24,2.8,mg/l
NL02_0079,Ntot,2013-11-06,3.6,mg/l
NL02_0079,Ntot,2013-11-20,4.4,mg/l
NL02_0079,Ntot,2013-12-04,4.9,mg/l
NL02_0079,Ntot,2013-12-11,5.3,mg/l
NL02_0079,Ntot,2014-01-14,5.4,mg/l
NL02_0079,Ntot,2014-02-11,5.8,mg/l
NL02_0079,Ntot,2014-03-11,4.9,mg/l
NL02_0079,Ntot,2014-04-07,3,mg/l
NL02_0079,Ntot,2014-05-06,2.9,mg/l
NL02_0079,Ntot,2014-06-03,4.5,mg/l
NL02_0079,Ntot,2014-07-01,2.4,mg/l
NL02_0079,Ntot,2014-07-29,2.1,mg/l
NL02_0079,Ntot,2014-08-26,2.9,mg/l
NL02_0079,Ntot,2014-09-24,2.3,mg/l
NL02_0079,Ntot,2014-10-21,2.4,mg/l
NL02_0079,Ntot,2014-11-18,3.6,mg/l
NL02_0079,Ntot,2014-12-16,4.4,mg/l
NL02_0079,Ntot,2015-01-07,4.5,mg/l
NL02_0079,Ntot,2015-01-29,5.9,mg/l
NL02_0079,Ntot,2015-02-24,5.3,mg/l
NL02_0079,Ntot,2015-03-26,4.3,mg/l
NL02_0079,Ntot,2015-04-23,2.9,mg/l
NL02_0079,Ntot,2015-05-20,2.1,mg/l
NL02_0079,Ntot,2015-06-17,2,mg/l
NL02_0079,Ntot,2015-07-16,1.8,mg/l
NL02_0079,Ntot,2015-08-12,1.8,mg/l
NL02_0079,Ntot,2015-09-08,3.9,mg/l
NL02_0079,Ntot,2015-10-08,3.6,mg/l
NL02_0079,Ntot,2015-11-05,3.5,mg/l
NL02_0079,Ntot,2015-12-02,4.4,mg/l
NL02_0079,Ntot,2016-01-12,5.5,mg/l
NL02_0079,Ntot,2016-02-03,5.5,mg/l
NL02_0079,Ntot,2016-03-01,5,mg/l
NL02_0079,Ntot,2016-03-30,4.1,mg/l
NL02_0079,Ntot,2016-04-28,3.3,mg/l
NL02_0079,Ntot,2016-05-26,2.8,mg/l
NL02_0079,Ntot,2016-06-22,3.2,mg/l
NL02_0079,Ntot,2016-07-21,2.5,mg/l
NL02_0079,Ntot,2016-08-17,2.1,mg/l
NL02_0079,Ntot,2016-09-14,2,mg/l
NL02_0079,Ntot,2016-10-27,2.8,mg/l
NL02_0079,Ntot,2016-11-07,3.1,mg/l
NL02_0079,Ntot,2016-12-05,3.4,mg/l
NL02_0079,Ntot,2017-01-10,4.6,mg/l
NL02_0079,Ntot,2017-02-07,4.7,mg/l
NL02_0079,Ntot,2017-03-07,5.5,mg/l
NL02_0079,Ntot,2017-04-04,4.5,mg/l
NL02_0079,Ntot,2017-05-03,1.7,mg/l
NL02_0079,Ntot,2017-05-30,1.9,mg/l
NL02_0079,Ntot,2017-06-27,1.8,mg/l
NL02_0079,Ntot,2017-07-25,1.5,mg/l
NL02_0079,Ntot,2017-08-23,1.3,mg/l
NL02_0079,Ntot,2017-09-18,3.7,mg/l
NL02_0079,Ntot,2017-10-17,3.7,mg/l
NL02_0079,Ntot,2017-11-14,4.7,mg/l
NL02_0079,Ntot,2017-12-11,4.5,mg/l
NL02_0079,Ntot,2018-01-08,5.1,mg/l
NL02_0079,Ntot,2018-01-29,5,mg/l
NL02_0079,Ntot,2018-02-23,5.5,mg/l
NL02_0079,Ntot,2018-03-26,3.8,mg/l
NL02_0079,Ntot,2018-04-25,3.1,mg/l
NL02_0079,Ntot,2018-05-23,2.6,mg/l
NL02_0079,Ntot,2018-06-20,2,mg/l
NL02_0079,Ntot,2018-07-17,1.3,mg/l
NL02_0079,Ntot,2018-08-16,1.4,mg/l
NL02_0079,Ntot,2018-09-12,1.4,mg/l
NL02_0079,Ntot,2018-10-08,1.9,mg/l
NL02_0079,Ntot,2018-11-06,2,mg/l
NL02_0079,Ntot,2018-11-27,2.2,mg/l
NL02_0079,Ntot,2019-01-25,5.4,mg/l
NL02_0079,Ntot,2019-02-19,5.4,mg/l
NL02_0079,Ntot,2019-03-18,5.8,mg/l
NL02_0079,Ntot,2019-04-17,3.1,mg/l
NL02_0079,Ntot,2019-05-14,2.1,mg/l
NL02_0079,Ntot,2019-06-13,2.1,mg/l
NL02_0079,Ntot,2019-07-12,1.3,mg/l
NL02_0079,Ntot,2019-08-07,1.4,mg/l
NL02_0079,Ntot,2019-09-04,1.2,mg/l
NL02_0079,Ntot,2019-10-01,2.2,mg/l
NL02_0079,Ntot,2019-10-29,4.2,mg/l
NL02_0079,Ntot,2019-11-26,4.8,mg/l
NL02_0079,Ntot,2019-12-20,6.3,mg/l
NL02_0079,Ntot,2020-01-21,6.3,mg/l
NL02_0079,Ntot,2020-02-03,6.2,mg/l
NL02_0079,Ntot,2020-03-03,5.4,mg/l
NL02_0079,Ntot,2020-04-07,4.1,mg/l
NL02_0079,Ntot,2020-04-30,2.1,mg/l
NL02_0079,Ntot,2020-05-28,1.9,mg/l
NL02_0079,Ntot,2020-06-30,1.7,mg/l
NL02_0079,Ntot,2020-07-29,1.4,mg/l
NL02_0079,Ntot,2020-08-19,1.3,mg/l
NL02_0079,Ntot,2020-09-16,1.8,mg/l
NL02_0079,Ntot,2020-10-14,3.9,mg/l
NL02_0079,Ntot,2020-11-11,4.2,mg/l
NL02_0079,Ntot,2020-12-09,5.3,mg/l
NL02_0079,Ntot,2021-01-27,5.3,mg/l
NL02_0079,Ntot,2021-02-24,4.8,mg/l
NL02_0079,Ntot,2021-03-24,4.4,mg/l
NL02_0079,Ntot,2021-04-19,3.3,mg/l
NL02_0079,Ntot,2021-05-18,2.7,mg/l
NL02_0079,Ntot,2021-06-15,2.9,mg/l
NL02_0079,Ntot,2021-07-13,2.5,mg/l
NL02_0079,Ntot,2021-08-11,3,mg/l
NL02_0079,Ntot,2021-09-08,2.7,mg/l
NL02_0079,Ntot,2021-10-08,3.5,mg/l
NL02_0079,Ntot,2021-11-03,4.1,mg/l
NL02_0079,Ntot,2021-12-01,5.1,mg/l
NL02_0079,Ntot,2021-12-15,5.3,mg/l
NL02_0079,Ntot,2022-01-11,5.3,mg/l
NL02_0079,Ntot,2022-02-10,4.9,mg/l
NL02_0079,Ntot,2022-03-09,4.8,mg/l
NL02_0079,Ntot,2022-04-07,3.6,mg/l
NL02_0079,Ntot,2022-05-05,2.2,mg/l
NL02_0079,Ntot,2022-06-02,2.3,mg/l
NL02_0079,Ntot,2022-07-05,1.5,mg/l
NL02_0079,Ntot,2022-07-29,1.4,mg/l
NL02_0079,Ntot,2022-08-25,1.2,mg/l
NL02_0079,Ntot,2022-09-21,1.4,mg/l
NL02_0079,Ntot,2022-10-20,2.3,mg/l
NL02_0079,Ntot,2022-11-14,3.4,mg/l
NL02_0079,Ntot,2022-12-13,4.4,mg/l
NL02_0079,Ntot,2023-01-12,5.5,mg/l
NL02_0079,Ntot,2023-02-08,4.9,mg/l
NL02_0079,Ntot,2023-03-08,3.8,mg/l
NL02_0079,Ntot,2023-04-05,3.9,mg/l
NL02_0079,Ntot,2023-05-03,2.9,mg/l
NL02_0079,Ntot,2023-06-01,1.8,mg/l
NL02_0079,Ntot,2023-06-29,1.9,mg/l
NL02_0079,Ntot,2023-07-26,1.3,mg/l
NL02_0079,Ntot,2023-08-24,2.2,mg/l
NL02_0079,Ntot,2023-09-21,1.8,mg/l
NL02_0079,Ntot,2023-10-19,2.8,mg/l
NL02_0079,Ntot,2023-11-16,4.9,mg/l
NL02_0079,Ntot,2023-12-13,4.6,mg/l
NL02_0079,Ntot,2024-01-10,3.6,mg/l
NL02_0079,Ntot,2024-02-05,4.6,mg/l
NL02_0079,Ntot,2024-03-12,2.6,mg/l
NL02_0079,Ntot,2024-04-02,3.3,mg/l
NL02_0079,Ntot,2024-05-02,2.8,mg/l
NL02_0079,Ntot,2024-05-29,2.3,mg/l
NL02_0079,Ntot,2024-06-27,2.2,mg/l
NL02_0079,Ntot,2024-07-25,2.3,mg/l
NL02_0079,Ntot,2024-08-22,1.6,mg/l
NL02_0079,Ntot,2024-09-20,1.8,mg/l
NL02_0079,Ntot,2024-10-14,2.8,mg/l
NL02_0079,Ntot,2024-11-14,3.4,mg/l
NL02_0079,Ntot,2024-12-10,4.4,mg/l
NL02_0079,Ptot,1990-01-08,0.19,mg/l
