code,waterboard,year,n_installations,capacity_ie_x1000,influent_volume_1000m3,N_influent_ton,P_influent_ton,effluent_volume_1000m3,N_effluent_ton,P_effluent_ton,N_removal_process_pct,P_removal_process_pct,N_removal_total_pct,P_removal_total_pct
WS19,Waterschap Velt en Vecht (WS),2006,7.0,,20966.0,1358.0,259.0,20966.0,339.0,24.0,82.0,87.0,75.0,91.0
WS20,Waterschap Zuiderzeeland (WS),2006,5.0,,26466.0,1872.0,299.0,26466.0,285.0,21.0,85.0,93.0,85.0,93.0
WS21,Hhs Hollands Noorderkwartier (WS),2006,19.0,,93630.0,4937.0,798.0,93630.0,786.0,144.0,85.0,76.0,84.0,82.0
WS22,Waterschap Brabantse Delta (WS),2006,18.0,,99120.0,3716.0,688.0,99120.0,894.0,158.0,82.0,82.0,76.0,77.0
WS23,Wetterskip Fryslân (WS),2006,29.0,,80942.0,3462.0,583.0,80942.0,554.0,92.0,84.0,83.0,84.0,84.0
WS24,Waterschap Aa en Maas (WS),2006,7.0,,99143.0,4362.0,932.0,99143.0,920.0,219.0,79.0,76.0,79.0,76.0
WS25,Waterschap Hollandse Delta (WS),2006,23.0,,123589.0,4844.0,773.0,123589.0,1139.0,157.0,81.0,78.0,76.0,80.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2006,9.0,,56849.0,2070.0,340.0,56849.0,371.0,59.0,88.0,77.0,82.0,83.0
WS31,Waterschap Limburg (WS),2006,18.0,,144607.0,6109.0,1038.0,144607.0,1327.0,228.0,72.0,69.0,78.0,78.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2006,12.0,,124248.0,6584.0,996.0,124248.0,1346.0,155.0,75.0,84.0,80.0,84.0
NL01,Nederland totaal,2007,356.0,,2068275.0,87817.0,14968.0,2068275.0,17849.0,2643.0,81.0,79.0,80.0,82.0
WS01,Waterschap Groot Salland (WS),2007,9.0,,37856.0,1806.0,305.0,37856.0,415.0,68.0,80.0,81.0,77.0,78.0
WS02,Waterschap Rijn en IJssel (WS),2007,14.0,,73409.0,3761.0,565.0,73409.0,665.0,118.0,82.0,82.0,82.0,79.0
WS03,Waterschap Veluwe (WS),2007,8.0,,62722.0,3149.0,537.0,62722.0,547.0,98.0,82.0,81.0,83.0,82.0
WS04,Waterschap Vallei & Eem (WS),2007,8.0,,70546.0,3113.0,530.0,70546.0,558.0,72.0,86.0,85.0,82.0,86.0
WS06,Waterschap Regge & Dinkel (WS),2007,19.0,,78475.0,3627.0,597.0,78475.0,565.0,128.0,85.0,76.0,84.0,79.0
WS07,Hoogheemraadschap van Delfland (WS),2007,6.0,,125742.0,5602.0,913.0,125742.0,1932.0,166.0,66.0,73.0,66.0,82.0
WS08,Waterschap Zeeuws-Vlaanderen (WS),2007,7.0,,15809.0,656.0,107.0,15809.0,138.0,18.0,83.0,80.0,79.0,83.0
WS09,Waterschap Zeeuwse Eilanden (WS),2007,10.0,,39189.0,1773.0,268.0,39189.0,335.0,52.0,83.0,78.0,81.0,81.0
WS10,Waterschap De Dommel (WS),2007,8.0,,118160.0,4572.0,816.0,118160.0,955.0,109.0,82.0,84.0,79.0,87.0
WS12,Hoogheemraadschap van Rijnland (WS),2007,30.0,,130376.0,5511.0,972.0,130376.0,949.0,126.0,79.0,80.0,83.0,87.0
WS13,Waterschap Rivierenland (WS),2007,39.0,,122485.0,4678.0,824.0,122485.0,833.0,166.0,83.0,74.0,82.0,80.0
WS14,Hhs De Stichtse Rijnlanden (WS),2007,17.0,,83233.0,3989.0,693.0,83233.0,752.0,108.0,83.0,81.0,81.0,84.0
WS16,Waterschap Hunze en Aa's (WS),2007,13.0,,45017.0,1701.0,268.0,45017.0,331.0,63.0,80.0,82.0,81.0,77.0
WS17,Waterschap Noorderzijlvest (WS),2007,15.0,,64134.0,2172.0,352.0,64134.0,726.0,75.0,74.0,78.0,67.0,79.0
WS18,Waterschap Reest en Wieden (WS),2007,8.0,,31808.0,1353.0,324.0,31808.0,177.0,68.0,87.0,83.0,87.0,79.0
