code,waterboard,year,n_installations,capacity_ie_x1000,influent_volume_1000m3,N_influent_ton,P_influent_ton,effluent_volume_1000m3,N_effluent_ton,P_effluent_ton,N_removal_process_pct,P_removal_process_pct,N_removal_total_pct,P_removal_total_pct
WS06,Waterschap Regge & Dinkel (WS),2012,18.0,1365.0,68861.0,3201.0,457.0,68861.0,473.0,83.0,85.0,79.0,85.0,82.0
WS07,Hoogheemraadschap van Delfland (WS),2012,4.0,2006.0,135298.0,5793.0,827.0,135298.0,1194.0,204.0,77.0,63.0,79.0,75.0
WS10,Waterschap De Dommel (WS),2012,8.0,1471.0,112305.0,4924.0,834.0,112305.0,883.0,88.0,86.0,91.0,82.0,89.0
WS12,Hoogheemraadschap van Rijnland (WS),2012,28.0,2114.0,129518.0,5681.0,844.0,129518.0,714.0,66.0,87.0,90.0,87.0,92.0
WS13,Waterschap Rivierenland (WS),2012,39.0,1648.0,116255.0,4788.0,749.0,116255.0,878.0,176.0,84.0,73.0,82.0,77.0
WS14,Hhs De Stichtse Rijnlanden (WS),2012,17.0,1388.0,78845.0,4008.0,625.0,78845.0,530.0,83.0,87.0,84.0,87.0,87.0
WS16,Waterschap Hunze en Aa's (WS),2012,13.0,625.0,35566.0,1524.0,216.0,35566.0,230.0,20.0,85.0,91.0,85.0,91.0
WS17,Waterschap Noorderzijlvest (WS),2012,15.0,707.0,54358.0,2428.0,315.0,54358.0,537.0,39.0,78.0,84.0,78.0,87.0
WS18,Waterschap Reest en Wieden (WS),2012,7.0,505.0,27943.0,1364.0,234.0,27943.0,113.0,15.0,92.0,93.0,92.0,93.0
WS19,Waterschap Velt en Vecht (WS),2012,7.0,427.0,24152.0,1380.0,206.0,24152.0,178.0,16.0,86.0,91.0,87.0,92.0
WS20,Waterschap Zuiderzeeland (WS),2012,5.0,668.0,28033.0,2008.0,302.0,28033.0,209.0,26.0,88.0,92.0,90.0,91.0
WS21,Hhs Hollands Noorderkwartier (WS),2012,15.0,1737.0,107889.0,4880.0,725.0,107889.0,767.0,109.0,84.0,83.0,84.0,85.0
WS22,Waterschap Brabantse Delta (WS),2012,17.0,1392.0,104601.0,4154.0,633.0,104601.0,891.0,145.0,83.0,85.0,79.0,77.0
WS23,Wetterskip Fryslân (WS),2012,28.0,1388.0,95741.0,3615.0,567.0,95741.0,519.0,83.0,85.0,82.0,86.0,85.0
WS24,Waterschap Aa en Maas (WS),2012,7.0,1501.0,106185.0,4599.0,953.0,106185.0,760.0,114.0,84.0,87.0,83.0,88.0
WS25,Waterschap Hollandse Delta (WS),2012,22.0,1819.0,142108.0,5122.0,737.0,142108.0,1107.0,103.0,84.0,83.0,78.0,86.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2012,9.0,709.0,53789.0,2167.0,290.0,53789.0,317.0,52.0,87.0,76.0,85.0,82.0
WS27,Waterschap Scheldestromen (WS),2012,16.0,797.0,58185.0,2160.0,316.0,58185.0,440.0,76.0,84.0,75.0,80.0,76.0
WS28,Waterschap Vallei en Veluwe (WS),2012,16.0,2003.0,122649.0,6953.0,1063.0,122649.0,1155.0,133.0,85.0,87.0,83.0,87.0
WS31,Waterschap Limburg (WS),2012,18.0,2120.0,152810.0,6248.0,890.0,152810.0,1292.0,190.0,74.0,68.0,79.0,79.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2012,12.0,2069.0,129419.0,6830.0,941.0,129419.0,1175.0,88.0,76.0,88.0,83.0,91.0
NL01,Nederland totaal,2013,341.0,30364.0,1873263.0,87733.0,13356.0,1873263.0,14639.0,2079.0,84.0,82.0,83.0,84.0
WS01,Waterschap Groot Salland (WS),2013,9.0,635.0,34210.0,1811.0,266.0,34210.0,331.0,50.0,85.0,86.0,82.0,81.0
WS02,Waterschap Rijn en IJssel (WS),2013,13.0,1271.0,66840.0,3404.0,491.0,66840.0,498.0,108.0,85.0,83.0,85.0,78.0
WS06,Waterschap Regge & Dinkel (WS),2013,18.0,1373.0,71145.0,3266.0,496.0,71145.0,484.0,94.0,85.0,79.0,85.0,81.0
WS07,Hoogheemraadschap van Delfland (WS),2013,4.0,2006.0,130470.0,5886.0,842.0,130470.0,1126.0,207.0,78.0,63.0,81.0,75.0
WS10,Waterschap De Dommel (WS),2013,8.0,1471.0,102851.0,4857.0,839.0,102851.0,830.0,77.0,87.0,92.0,83.0,91.0
WS12,Hoogheemraadschap van Rijnland (WS),2013,28.0,2114.0,122867.0,5601.0,856.0,122867.0,704.0,89.0,87.0,89.0,87.0,90.0
WS13,Waterschap Rivierenland (WS),2013,37.0,1639.0,112632.0,4646.0,780.0,112632.0,795.0,180.0,84.0,74.0,83.0,77.0
WS14,Hhs De Stichtse Rijnlanden (WS),2013,17.0,1388.0,76944.0,3934.0,658.0,76944.0,493.0,77.0,88.0,87.0,87.0,88.0
WS16,Waterschap Hunze en Aa's (WS),2013,13.0,625.0,34724.0,1469.0,207.0,34724.0,209.0,20.0,85.0,90.0,86.0,91.0
WS17,Waterschap Noorderzijlvest (WS),2013,15.0,707.0,49101.0,2320.0,285.0,49101.0,531.0,50.0,77.0,81.0,77.0,83.0
WS18,Waterschap Reest en Wieden (WS),2013,7.0,505.0,26681.0,1327.0,247.0,26681.0,176.0,21.0,88.0,91.0,87.0,92.0
WS19,Waterschap Velt en Vecht (WS),2013,7.0,427.0,23287.0,1325.0,187.0,23287.0,165.0,12.0,89.0,93.0,88.0,93.0
WS20,Waterschap Zuiderzeeland (WS),2013,5.0,668.0,27348.0,2005.0,291.0,27348.0,230.0,22.0,86.0,92.0,89.0,92.0
WS21,Hhs Hollands Noorderkwartier (WS),2013,15.0,1737.0,95971.0,4872.0,711.0,95971.0,737.0,108.0,85.0,83.0,85.0,85.0
WS22,Waterschap Brabantse Delta (WS),2013,17.0,1392.0,96847.0,4198.0,646.0,96847.0,882.0,152.0,83.0,84.0,79.0,77.0
WS23,Wetterskip Fryslân (WS),2013,28.0,1388.0,77421.0,3525.0,553.0,77421.0,464.0,72.0,87.0,86.0,87.0,87.0
WS24,Waterschap Aa en Maas (WS),2013,7.0,1501.0,99472.0,4553.0,1001.0,99472.0,709.0,117.0,86.0,88.0,84.0,88.0
WS25,Waterschap Hollandse Delta (WS),2013,22.0,1819.0,134146.0,5316.0,733.0,134146.0,1159.0,110.0,83.0,82.0,78.0,85.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2013,9.0,709.0,53305.0,2137.0,289.0,53305.0,312.0,39.0,89.0,78.0,85.0,87.0
WS27,Waterschap Scheldestromen (WS),2013,16.0,797.0,54078.0,2116.0,303.0,54078.0,422.0,70.0,85.0,76.0,80.0,77.0
WS28,Waterschap Vallei en Veluwe (WS),2013,16.0,2003.0,114821.0,6261.0,943.0,114821.0,987.0,120.0,86.0,87.0,84.0,87.0
WS31,Waterschap Limburg (WS),2013,18.0,2120.0,142234.0,6082.0,772.0,142234.0,1288.0,186.0,73.0,64.0,79.0,76.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2013,12.0,2069.0,125867.0,6822.0,961.0,125867.0,1106.0,99.0,78.0,86.0,84.0,90.0
NL01,Nederland totaal,2014,337.0,30237.0,1841316.0,89627.0,13523.0,1841316.0,14101.0,2179.0,85.0,83.0,84.0,84.0
WS01,Waterschap Groot Salland (WS),2014,9.0,632.0,32736.0,1847.0,270.0,32736.0,330.0,41.0,86.0,88.0,82.0,85.0
WS02,Waterschap Rijn en IJssel (WS),2014,13.0,1271.0,63619.0,3818.0,538.0,63619.0,477.0,129.0,87.0,84.0,88.0,76.0
WS07,Hoogheemraadschap van Delfland (WS),2014,4.0,1936.0,126096.0,5797.0,859.0,126096.0,1149.0,200.0,78.0,65.0,80.0,77.0
WS10,Waterschap De Dommel (WS),2014,8.0,1471.0,107669.0,4984.0,885.0,107669.0,741.0,74.0,89.0,93.0,85.0,92.0
WS12,Hoogheemraadschap van Rijnland (WS),2014,27.0,2111.0,121939.0,6011.0,908.0,121939.0,693.0,93.0,90.0,91.0,88.0,90.0
WS13,Waterschap Rivierenland (WS),2014,37.0,1639.0,108191.0,4719.0,765.0,108191.0,775.0,165.0,86.0,78.0,84.0,78.0
WS14,Hhs De Stichtse Rijnlanden (WS),2014,17.0,1388.0,75458.0,3927.0,629.0,75458.0,541.0,76.0,88.0,89.0,86.0,88.0
WS16,Waterschap Hunze en Aa's (WS),2014,13.0,625.0,32601.0,1517.0,217.0,32601.0,220.0,25.0,86.0,89.0,85.0,88.0
WS17,Waterschap Noorderzijlvest (WS),2014,15.0,707.0,47669.0,2371.0,294.0,47669.0,423.0,49.0,78.0,77.0,82.0,83.0
WS18,Waterschap Reest en Wieden (WS),2014,7.0,505.0,26802.0,1645.0,265.0,26802.0,135.0,20.0,89.0,93.0,92.0,92.0
WS20,Waterschap Zuiderzeeland (WS),2014,5.0,685.0,26873.0,2076.0,288.0,26873.0,167.0,23.0,91.0,92.0,92.0,92.0
WS21,Hhs Hollands Noorderkwartier (WS),2014,15.0,1737.0,95096.0,5014.0,757.0,95096.0,840.0,115.0,84.0,84.0,83.0,85.0
WS22,Waterschap Brabantse Delta (WS),2014,17.0,1392.0,97245.0,3912.0,609.0,97245.0,845.0,139.0,83.0,83.0,78.0,77.0
WS23,Wetterskip Fryslân (WS),2014,28.0,1394.0,76144.0,3560.0,561.0,76144.0,435.0,74.0,87.0,85.0,88.0,87.0
WS24,Waterschap Aa en Maas (WS),2014,7.0,1501.0,102246.0,4548.0,966.0,102246.0,652.0,105.0,87.0,88.0,86.0,89.0
WS25,Waterschap Hollandse Delta (WS),2014,20.0,1810.0,126758.0,5187.0,760.0,126758.0,1070.0,118.0,86.0,82.0,79.0,84.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2014,9.0,709.0,51252.0,2231.0,314.0,51252.0,360.0,68.0,88.0,78.0,84.0,78.0
WS27,Waterschap Scheldestromen (WS),2014,16.0,797.0,49492.0,2221.0,306.0,49492.0,439.0,72.0,85.0,73.0,80.0,77.0
WS28,Waterschap Vallei en Veluwe (WS),2014,16.0,2003.0,111707.0,6031.0,875.0,111707.0,939.0,184.0,87.0,84.0,84.0,79.0
WS29,Waterschap Vechtstromen (WS),2014,24.0,1793.0,91137.0,4886.0,711.0,91137.0,704.0,134.0,87.0,83.0,86.0,81.0
WS31,Waterschap Limburg (WS),2014,18.0,2120.0,148610.0,6370.0,774.0,148610.0,1224.0,184.0,75.0,66.0,81.0,76.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2014,12.0,2011.0,121975.0,6953.0,973.0,121975.0,943.0,89.0,83.0,87.0,86.0,91.0
NL01,Nederland totaal,2015,334.0,30246.0,1957261.0,89122.0,13389.0,1957261.0,14641.0,1960.0,85.0,84.0,84.0,85.0
WS01,Waterschap Groot Salland (WS),2015,9.0,632.0,37203.0,1880.0,275.0,37203.0,391.0,36.0,84.0,90.0,79.0,87.0
WS02,Waterschap Rijn en IJssel (WS),2015,13.0,1271.0,72065.0,3651.0,537.0,72065.0,511.0,110.0,86.0,86.0,86.0,80.0
WS07,Hoogheemraadschap van Delfland (WS),2015,4.0,1938.0,131009.0,5823.0,853.0,131009.0,1143.0,191.0,78.0,67.0,80.0,78.0
WS10,Waterschap De Dommel (WS),2015,8.0,1471.0,106710.0,4876.0,883.0,106710.0,807.0,91.0,86.0,91.0,83.0,90.0
WS12,Hoogheemraadschap van Rijnland (WS),2015,25.0,2095.0,129690.0,5720.0,885.0,129690.0,619.0,84.0,89.0,92.0,89.0,91.0
WS13,Waterschap Rivierenland (WS),2015,37.0,1639.0,112770.0,4720.0,742.0,112770.0,900.0,150.0,84.0,79.0,81.0,80.0
WS14,Hhs De Stichtse Rijnlanden (WS),2015,17.0,1388.0,78755.0,3912.0,607.0,78755.0,539.0,57.0,88.0,90.0,86.0,91.0
WS16,Waterschap Hunze en Aa's (WS),2015,13.0,620.0,37712.0,1486.0,208.0,37712.0,210.0,32.0,85.0,84.0,86.0,85.0
WS17,Waterschap Noorderzijlvest (WS),2015,14.0,702.0,56491.0,2365.0,292.0,56491.0,404.0,44.0,82.0,84.0,83.0,85.0
WS18,Waterschap Reest en Wieden (WS),2015,7.0,505.0,29097.0,1307.0,234.0,29097.0,150.0,24.0,89.0,92.0,89.0,90.0
WS20,Waterschap Zuiderzeeland (WS),2015,5.0,724.0,28495.0,2024.0,294.0,28495.0,167.0,22.0,91.0,93.0,92.0,93.0
WS21,Hhs Hollands Noorderkwartier (WS),2015,15.0,1731.0,104606.0,5177.0,746.0,104606.0,846.0,114.0,83.0,83.0,84.0,85.0
WS22,Waterschap Brabantse Delta (WS),2015,17.0,1386.0,98044.0,4131.0,644.0,98044.0,901.0,146.0,83.0,84.0,78.0,77.0
WS23,Wetterskip Fryslân (WS),2015,28.0,1394.0,88994.0,3652.0,568.0,88994.0,475.0,72.0,86.0,85.0,87.0,87.0
WS24,Waterschap Aa en Maas (WS),2015,7.0,1501.0,102997.0,4543.0,973.0,102997.0,633.0,122.0,87.0,86.0,86.0,87.0
WS25,Waterschap Hollandse Delta (WS),2015,20.0,1808.0,136370.0,5268.0,772.0,136370.0,1090.0,104.0,85.0,83.0,79.0,86.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2015,9.0,709.0,54893.0,2205.0,296.0,54893.0,394.0,54.0,88.0,78.0,82.0,82.0
WS27,Waterschap Scheldestromen (WS),2015,16.0,797.0,52274.0,2152.0,304.0,52274.0,409.0,64.0,85.0,73.0,81.0,79.0
WS28,Waterschap Vallei en Veluwe (WS),2015,16.0,2003.0,118877.0,5917.0,848.0,118877.0,948.0,110.0,85.0,87.0,84.0,87.0
WS29,Waterschap Vechtstromen (WS),2015,24.0,1788.0,101550.0,4811.0,701.0,101550.0,726.0,107.0,87.0,87.0,85.0,85.0
WS31,Waterschap Limburg (WS),2015,18.0,2120.0,147798.0,6447.0,751.0,147798.0,1378.0,146.0,72.0,73.0,79.0,81.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2015,12.0,2024.0,130860.0,7053.0,977.0,130860.0,1001.0,81.0,82.0,88.0,86.0,92.0
NL01,Nederland totaal,2016,327.0,30122.0,1904878.0,92967.0,13401.0,1904878.0,14401.0,1769.0,86.0,85.0,85.0,87.0
WS02,Waterschap Rijn en IJssel (WS),2016,13.0,1271.0,70331.0,3693.0,540.0,70331.0,499.0,92.0,86.0,86.0,86.0,83.0
WS07,Hoogheemraadschap van Delfland (WS),2016,4.0,1938.0,133020.0,6174.0,851.0,133020.0,1193.0,197.0,78.0,66.0,81.0,77.0
WS10,Waterschap De Dommel (WS),2016,8.0,1471.0,114013.0,5157.0,873.0,114013.0,816.0,83.0,87.0,92.0,84.0,90.0
WS12,Hoogheemraadschap van Rijnland (WS),2016,22.0,2084.0,121488.0,5949.0,869.0,121488.0,683.0,75.0,89.0,93.0,89.0,91.0
WS13,Waterschap Rivierenland (WS),2016,36.0,1625.0,109935.0,5302.0,784.0,109935.0,886.0,164.0,86.0,79.0,83.0,79.0
WS14,Hhs De Stichtse Rijnlanden (WS),2016,17.0,1388.0,76798.0,4334.0,662.0,76798.0,528.0,56.0,88.0,90.0,88.0,92.0
WS16,Waterschap Hunze en Aa's (WS),2016,13.0,620.0,33467.0,1334.0,211.0,33467.0,200.0,32.0,85.0,82.0,85.0,85.0
WS17,Waterschap Noorderzijlvest (WS),2016,14.0,702.0,48412.0,2130.0,280.0,48412.0,313.0,35.0,84.0,85.0,85.0,88.0
WS20,Waterschap Zuiderzeeland (WS),2016,5.0,724.0,27941.0,2161.0,312.0,27941.0,169.0,20.0,91.0,94.0,92.0,94.0
WS21,Hhs Hollands Noorderkwartier (WS),2016,15.0,1731.0,93352.0,5078.0,697.0,93352.0,821.0,84.0,84.0,86.0,84.0,88.0
WS22,Waterschap Brabantse Delta (WS),2016,17.0,1386.0,99375.0,4325.0,646.0,99375.0,931.0,146.0,84.0,84.0,78.0,77.0
WS23,Wetterskip Fryslân (WS),2016,27.0,1380.0,79802.0,3733.0,547.0,79802.0,403.0,70.0,89.0,85.0,89.0,87.0
WS24,Waterschap Aa en Maas (WS),2016,7.0,1501.0,104317.0,5101.0,976.0,104317.0,611.0,84.0,88.0,89.0,88.0,91.0
WS25,Waterschap Hollandse Delta (WS),2016,20.0,1808.0,131129.0,5743.0,754.0,131129.0,1067.0,88.0,86.0,84.0,81.0,88.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2016,9.0,709.0,55790.0,2228.0,298.0,55790.0,359.0,53.0,85.0,79.0,84.0,82.0
WS27,Waterschap Scheldestromen (WS),2016,16.0,797.0,53046.0,2118.0,290.0,53046.0,390.0,54.0,85.0,77.0,82.0,81.0
WS28,Waterschap Vallei en Veluwe (WS),2016,16.0,2003.0,115494.0,6147.0,854.0,115494.0,938.0,103.0,86.0,88.0,85.0,88.0
WS29,Waterschap Vechtstromen (WS),2016,23.0,1783.0,93528.0,4950.0,718.0,93528.0,665.0,102.0,87.0,86.0,87.0,86.0
WS30,WS Drents Overijsselse Delta (WS),2016,16.0,1137.0,57752.0,3291.0,540.0,57752.0,438.0,51.0,87.0,93.0,87.0,91.0
WS31,Waterschap Limburg (WS),2016,17.0,2041.0,158787.0,6519.0,691.0,158787.0,1387.0,103.0,74.0,80.0,79.0,85.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2016,12.0,2024.0,127103.0,7500.0,1008.0,127103.0,1106.0,77.0,82.0,89.0,85.0,92.0
NL01,Nederland totaal,2017,326.0,29904.0,1921056.0,93372.0,13430.0,1921056.0,14877.0,1843.0,86.0,85.0,84.0,86.0
WS02,Waterschap Rijn en IJssel (WS),2017,13.0,1271.0,66750.0,3836.0,532.0,66750.0,483.0,87.0,87.0,86.0,87.0,84.0
WS07,Hoogheemraadschap van Delfland (WS),2017,4.0,1938.0,136842.0,6417.0,863.0,136842.0,1121.0,173.0,80.0,69.0,83.0,80.0
WS10,Waterschap De Dommel (WS),2017,8.0,1471.0,102702.0,5532.0,954.0,102702.0,1072.0,89.0,85.0,89.0,81.0,91.0
WS12,Hoogheemraadschap van Rijnland (WS),2017,22.0,2116.0,128986.0,5905.0,828.0,128986.0,980.0,135.0,86.0,89.0,83.0,84.0
WS13,Waterschap Rivierenland (WS),2017,36.0,1645.0,108358.0,5190.0,725.0,108358.0,806.0,142.0,86.0,80.0,84.0,80.0
WS14,Hhs De Stichtse Rijnlanden (WS),2017,17.0,1388.0,80243.0,4232.0,618.0,80243.0,495.0,40.0,89.0,93.0,88.0,93.0
WS16,Waterschap Hunze en Aa's (WS),2017,13.0,620.0,35702.0,1393.0,195.0,35702.0,228.0,40.0,85.0,82.0,84.0,79.0
WS17,Waterschap Noorderzijlvest (WS),2017,13.0,684.0,54667.0,1923.0,279.0,54667.0,399.0,43.0,80.0,79.0,79.0,85.0
WS20,Waterschap Zuiderzeeland (WS),2017,5.0,724.0,28641.0,2133.0,288.0,28641.0,166.0,20.0,92.0,93.0,92.0,93.0
WS21,Hhs Hollands Noorderkwartier (WS),2017,15.0,1676.0,104289.0,5057.0,699.0,104289.0,803.0,81.0,83.0,88.0,84.0,88.0
WS22,Waterschap Brabantse Delta (WS),2017,17.0,1297.0,96842.0,4242.0,627.0,96842.0,868.0,143.0,85.0,85.0,80.0,77.0
WS23,Wetterskip Fryslân (WS),2017,27.0,1380.0,92729.0,3870.0,583.0,92729.0,307.0,95.0,92.0,83.0,92.0,84.0
WS24,Waterschap Aa en Maas (WS),2017,7.0,1450.0,101542.0,4972.0,928.0,101542.0,832.0,112.0,84.0,88.0,83.0,88.0
WS25,Waterschap Hollandse Delta (WS),2017,20.0,1812.0,132134.0,5940.0,886.0,132134.0,1183.0,100.0,85.0,85.0,80.0,89.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2017,9.0,655.0,54606.0,2269.0,323.0,54606.0,347.0,43.0,89.0,85.0,85.0,87.0
WS27,Waterschap Scheldestromen (WS),2017,16.0,797.0,51350.0,2026.0,270.0,51350.0,386.0,53.0,85.0,79.0,81.0,80.0
WS28,Waterschap Vallei en Veluwe (WS),2017,16.0,2028.0,117839.0,6270.0,852.0,117839.0,981.0,108.0,86.0,88.0,84.0,87.0
WS29,Waterschap Vechtstromen (WS),2017,23.0,1751.0,87466.0,5031.0,719.0,87466.0,688.0,99.0,88.0,86.0,86.0,86.0
WS30,WS Drents Overijsselse Delta (WS),2017,16.0,1137.0,61057.0,3136.0,495.0,61057.0,436.0,50.0,88.0,91.0,86.0,90.0
WS31,Waterschap Limburg (WS),2017,17.0,2041.0,148311.0,6378.0,777.0,148311.0,1240.0,102.0,79.0,83.0,81.0,87.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2017,12.0,2024.0,130000.0,7620.0,991.0,130000.0,1054.0,88.0,82.0,88.0,86.0,91.0
NL01,Nederland totaal,2018,323.0,29942.0,1773436.0,94116.0,13307.0,1773436.0,14006.0,1676.0,87.0,85.0,85.0,87.0
WS02,Waterschap Rijn en IJssel (WS),2018,13.0,1270.0,64190.0,3513.0,519.0,64190.0,386.0,68.0,89.0,87.0,89.0,87.0
WS07,Hoogheemraadschap van Delfland (WS),2018,4.0,1932.0,125762.0,6690.0,861.0,125762.0,1152.0,148.0,80.0,72.0,83.0,83.0
WS10,Waterschap De Dommel (WS),2018,8.0,1448.0,101736.0,5464.0,887.0,101736.0,769.0,57.0,88.0,93.0,86.0,94.0
WS12,Hoogheemraadschap van Rijnland (WS),2018,19.0,2050.0,111688.0,6048.0,819.0,111688.0,719.0,113.0,90.0,90.0,88.0,86.0
WS13,Waterschap Rivierenland (WS),2018,36.0,1653.0,105707.0,5411.0,738.0,105707.0,832.0,134.0,86.0,80.0,85.0,82.0
WS14,Hhs De Stichtse Rijnlanden (WS),2018,17.0,1388.0,73595.0,4511.0,619.0,73595.0,539.0,54.0,88.0,91.0,88.0,91.0
WS16,Waterschap Hunze en Aa's (WS),2018,13.0,619.0,32090.0,1407.0,194.0,32090.0,203.0,30.0,87.0,86.0,86.0,85.0
WS17,Waterschap Noorderzijlvest (WS),2018,13.0,684.0,47448.0,1888.0,266.0,47448.0,365.0,32.0,83.0,83.0,81.0,88.0
WS20,Waterschap Zuiderzeeland (WS),2018,5.0,754.0,27221.0,2236.0,318.0,27221.0,175.0,19.0,92.0,94.0,92.0,94.0
WS21,Hhs Hollands Noorderkwartier (WS),2018,15.0,1676.0,87648.0,5135.0,759.0,87648.0,809.0,98.0,84.0,83.0,84.0,87.0
WS22,Waterschap Brabantse Delta (WS),2018,17.0,1312.0,91543.0,4390.0,643.0,91543.0,867.0,132.0,86.0,86.0,80.0,79.0
WS23,Wetterskip Fryslân (WS),2018,27.0,1380.0,77544.0,3752.0,562.0,77544.0,421.0,75.0,89.0,85.0,89.0,87.0
WS24,Waterschap Aa en Maas (WS),2018,7.0,1534.0,97274.0,5016.0,948.0,97274.0,635.0,91.0,88.0,88.0,87.0,90.0
WS25,Waterschap Hollandse Delta (WS),2018,20.0,1812.0,124304.0,5960.0,867.0,124304.0,1234.0,115.0,86.0,84.0,79.0,87.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2018,9.0,655.0,50851.0,2208.0,274.0,50851.0,317.0,46.0,90.0,86.0,86.0,83.0
WS27,Waterschap Scheldestromen (WS),2018,16.0,794.0,47899.0,2119.0,256.0,47899.0,433.0,52.0,82.0,72.0,80.0,80.0
WS28,Waterschap Vallei en Veluwe (WS),2018,16.0,2028.0,110780.0,6408.0,853.0,110780.0,922.0,104.0,87.0,88.0,86.0,88.0
WS29,Waterschap Vechtstromen (WS),2018,23.0,1761.0,86152.0,4914.0,711.0,86152.0,628.0,77.0,88.0,87.0,87.0,89.0
WS30,WS Drents Overijsselse Delta (WS),2018,16.0,1137.0,56092.0,3192.0,483.0,56092.0,416.0,52.0,90.0,92.0,87.0,89.0
WS31,Waterschap Limburg (WS),2018,17.0,2032.0,131743.0,6419.0,768.0,131743.0,1172.0,86.0,81.0,85.0,82.0,89.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2018,12.0,2024.0,122168.0,7435.0,963.0,122168.0,1011.0,91.0,83.0,89.0,86.0,91.0
NL01,Nederland totaal,2019,317.0,29784.0,1904102.0,94209.0,13555.0,1904102.0,14391.0,1767.0,86.0,85.0,85.0,87.0
WS02,Waterschap Rijn en IJssel (WS),2019,13.0,1270.0,66954.0,3736.0,547.0,66954.0,441.0,67.0,89.0,86.0,88.0,88.0
WS07,Hoogheemraadschap van Delfland (WS),2019,4.0,1784.0,129858.0,6545.0,876.0,129858.0,1036.0,170.0,82.0,72.0,84.0,81.0
WS10,Waterschap De Dommel (WS),2019,8.0,1448.0,103958.0,5073.0,823.0,103958.0,772.0,65.0,86.0,92.0,85.0,92.0
WS12,Hoogheemraadschap van Rijnland (WS),2019,19.0,2050.0,129159.0,6034.0,853.0,129159.0,682.0,73.0,90.0,92.0,89.0,91.0
WS13,Waterschap Rivierenland (WS),2019,33.0,1622.0,110285.0,5427.0,790.0,110285.0,809.0,145.0,86.0,80.0,85.0,82.0
WS14,Hhs De Stichtse Rijnlanden (WS),2019,16.0,1361.0,81379.0,4297.0,566.0,81379.0,548.0,57.0,88.0,91.0,87.0,90.0
WS16,Waterschap Hunze en Aa's (WS),2019,13.0,619.0,35702.0,1398.0,195.0,35702.0,228.0,40.0,85.0,82.0,84.0,79.0
WS17,Waterschap Noorderzijlvest (WS),2019,13.0,684.0,51324.0,2003.0,277.0,51324.0,370.0,36.0,84.0,83.0,82.0,87.0
WS20,Waterschap Zuiderzeeland (WS),2019,5.0,754.0,28069.0,2353.0,334.0,28069.0,169.0,21.0,92.0,93.0,93.0,94.0
WS21,Hhs Hollands Noorderkwartier (WS),2019,15.0,1713.0,102301.0,5223.0,714.0,102301.0,867.0,96.0,82.0,85.0,83.0,87.0
WS22,Waterschap Brabantse Delta (WS),2019,17.0,1296.0,97486.0,4499.0,679.0,97486.0,950.0,149.0,86.0,85.0,79.0,78.0
WS23,Wetterskip Fryslân (WS),2019,27.0,1380.0,88865.0,3823.0,550.0,88865.0,416.0,73.0,89.0,85.0,89.0,87.0
WS24,Waterschap Aa en Maas (WS),2019,7.0,1534.0,99440.0,4954.0,998.0,99440.0,684.0,102.0,87.0,88.0,86.0,90.0
WS25,Waterschap Hollandse Delta (WS),2019,20.0,1812.0,135739.0,5817.0,826.0,135739.0,1233.0,115.0,85.0,83.0,79.0,86.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2019,9.0,655.0,56233.0,2247.0,289.0,56233.0,375.0,41.0,87.0,81.0,83.0,86.0
WS27,Waterschap Scheldestromen (WS),2019,15.0,799.0,48112.0,2177.0,284.0,48112.0,427.0,38.0,83.0,85.0,80.0,86.0
WS28,Waterschap Vallei en Veluwe (WS),2019,16.0,2028.0,115994.0,6438.0,847.0,115994.0,942.0,107.0,87.0,88.0,85.0,87.0
WS29,Waterschap Vechtstromen (WS),2019,23.0,1761.0,91187.0,4943.0,840.0,91187.0,686.0,101.0,88.0,85.0,86.0,88.0
WS30,WS Drents Overijsselse Delta (WS),2019,16.0,1160.0,59936.0,3187.0,463.0,59936.0,401.0,49.0,89.0,91.0,87.0,89.0
WS31,Waterschap Limburg (WS),2019,17.0,2032.0,143745.0,6336.0,809.0,143745.0,1278.0,114.0,84.0,82.0,80.0,86.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2019,11.0,2023.0,128376.0,7698.0,997.0,128376.0,1079.0,107.0,82.0,90.0,86.0,89.0
NL01,Nederland totaal,2020,315.0,29713.0,1936833.0,93601.0,13284.0,1936833.0,14307.0,1641.0,86.0,86.0,85.0,88.0
WS02,Waterschap Rijn en IJssel (WS),2020,13.0,1270.0,69490.0,3807.0,548.0,69490.0,405.0,45.0,90.0,90.0,89.0,92.0
