gar_bro_id,well,tube,date,NO3,NO3_uom,NO2,NO2_uom,NH4,NH4_uom,Ntot,Ntot_uom,PO4,PO4_uom,Ptot,Ptot_uom,Cl,Cl_uom,SO4,SO4_uom,HCO3,HCO3_uom,Ca,Ca_uom,Mg,Mg_uom,Na,Na_uom,K,K_uom,Fe,Fe_uom,Mn,Mn_uom
GAR000000064439,GMW000000049984,1,2024-09-18T06:43:12+02:00,3,mg/l,,,0.06,mg/l,,,,,0.05,mg/l,35,mg/l,92,mg/l,494,mg/l,150,mg/l,16,mg/l,39,mg/l,48,mg/l,70,ug/l,960,ug/l
GAR000000064441,GMW000000049984,2,2024-09-18T06:43:12+02:00,3,mg/l,,,1.3,mg/l,,,,,0.09,mg/l,21,mg/l,82,mg/l,493,mg/l,170,mg/l,18,mg/l,13,mg/l,2.2,mg/l,16000,ug/l,900,ug/l
GAR000000064443,GMW000000049984,4,2024-09-18T06:43:12+02:00,3,mg/l,,,2.8,mg/l,,,,,0.6,mg/l,22,mg/l,30,mg/l,509,mg/l,150,mg/l,17,mg/l,21,mg/l,6.7,mg/l,18000,ug/l,400,ug/l
GAR000000064318,GMW000000038750,3,2024-09-18T10:19:12+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000065305,GMW000000037634,1,2024-09-18T12:00:00+02:00,0.19,mg/l,0.01,mg/l,61.62,mg/l,,,0.01,mg/l,2.22,mg/l,1988.46,mg/l,9.47,mg/l,1248.24,mg/l,307.08,mg/l,124.88,mg/l,1050.74,mg/l,29.44,mg/l,72533.1,ug/l,4852.21,ug/l
GAR000000065303,GMW000000037650,1,2024-09-18T12:00:00+02:00,0.16,mg/l,0.01,mg/l,49.55,mg/l,,,0.01,mg/l,2.55,mg/l,2411.75,mg/l,1,mg/l,1579.41,mg/l,271.88,mg/l,158.11,mg/l,1507.07,mg/l,43.57,mg/l,28194.63,ug/l,1040.63,ug/l
GAR000000064312,GMW000000049985,1,2024-09-19T06:43:12+02:00,8.6,mg/l,,,0.06,mg/l,,,,,0.05,mg/l,48,mg/l,56,mg/l,35,mg/l,27,mg/l,8.1,mg/l,30,mg/l,16,mg/l,110,ug/l,93,ug/l
GAR000000064314,GMW000000049985,2,2024-09-19T06:43:12+02:00,3,mg/l,,,0.06,mg/l,,,,,0.05,mg/l,17,mg/l,41,mg/l,343,mg/l,110,mg/l,11,mg/l,13,mg/l,22,mg/l,10,ug/l,1600,ug/l
GAR000000064316,GMW000000049985,4,2024-09-19T06:43:12+02:00,3,mg/l,,,0.44,mg/l,,,,,0.05,mg/l,41,mg/l,100,mg/l,250,mg/l,120,mg/l,8.9,mg/l,19,mg/l,1,mg/l,3300,ug/l,330,ug/l
GAR000000065370,GMW000000011605,1,2024-09-19T12:00:00+02:00,0.05,mg/l,0.01,mg/l,2.85,mg/l,,,0.01,mg/l,0.56,mg/l,2190.83,mg/l,100.99,mg/l,412.05,mg/l,198.84,mg/l,96.15,mg/l,1258.59,mg/l,23.42,mg/l,11456.16,ug/l,175.24,ug/l
GAR000000065368,GMW000000011627,1,2024-09-19T12:00:00+02:00,0.05,mg/l,0.01,mg/l,0.23,mg/l,,,0.06,mg/l,0.27,mg/l,22.96,mg/l,1.32,mg/l,250.58,mg/l,53.67,mg/l,11.06,mg/l,30.63,mg/l,1.93,mg/l,1778.13,ug/l,97.82,ug/l
