gar_bro_id,well,tube,date,NO3,NO3_uom,NO2,NO2_uom,NH4,NH4_uom,Ntot,Ntot_uom,PO4,PO4_uom,Ptot,Ptot_uom,Cl,Cl_uom,SO4,SO4_uom,HCO3,HCO3_uom,Ca,Ca_uom,Mg,Mg_uom,Na,Na_uom,K,K_uom,Fe,Fe_uom,Mn,Mn_uom
GAR000000019614,GMW000000038604,3,1980-01-21T12:00:00+01:00,0.1,mg/l,,,18,mg/l,,,,,0.4,mg/l,42,mg/l,7,mg/l,737,mg/l,169,mg/l,19,mg/l,49,mg/l,6,mg/l,,,,
GAR000000020012,GMW000000038805,2,1980-02-12T12:00:00+01:00,0.1,mg/l,,,36,mg/l,,,,,5.2,mg/l,670,mg/l,9,mg/l,1060,mg/l,132,mg/l,70,mg/l,510,mg/l,23,mg/l,,,,
GAR000000017956,GMW000000038853,3,1980-02-19T12:00:00+01:00,0.1,mg/l,,,2,mg/l,,,,,0.82,mg/l,35,mg/l,5,mg/l,244,mg/l,24,mg/l,29,mg/l,21,mg/l,26,mg/l,,,,
GAR000000026773,GMW000000038808,2,1980-03-03T12:00:00+01:00,0.1,mg/l,,,2.4,mg/l,,,,,0.03,mg/l,300,mg/l,70,mg/l,83,mg/l,62,mg/l,21,mg/l,120,mg/l,35,mg/l,,,,
GAR000000018831,GMW000000038765,2,1980-03-11T12:00:00+01:00,0.1,mg/l,,,4,mg/l,,,,,0.54,mg/l,45,mg/l,66,mg/l,279,mg/l,110,mg/l,4.6,mg/l,21,mg/l,1,mg/l,,,,
GAR000000021667,GMW000000038587,3,1980-04-17T13:00:00+02:00,0.1,mg/l,,,1.8,mg/l,,,,,0.1,mg/l,75,mg/l,180,mg/l,104,mg/l,58,mg/l,10.2,mg/l,78,mg/l,4,mg/l,,,,
GAR000000024911,GMW000000038645,2,1980-05-08T13:00:00+02:00,0.1,mg/l,,,3.7,mg/l,,,,,0.02,mg/l,220,mg/l,3,mg/l,379,mg/l,174,mg/l,26,mg/l,25,mg/l,4,mg/l,,,,
GAR000000022526,GMW000000038582,1,1980-05-12T13:00:00+02:00,1.2,mg/l,,,0.21,mg/l,,,,,0.01,mg/l,15,mg/l,49,mg/l,1,mg/l,9,mg/l,6,mg/l,6,mg/l,2,mg/l,,,,
GAR000000025825,GMW000000038708,3,1980-06-05T13:00:00+02:00,0.1,mg/l,,,6.6,mg/l,,,,,0.64,mg/l,3100,mg/l,19,mg/l,820,mg/l,170,mg/l,290,mg/l,1400,mg/l,88,mg/l,,,,
GAR000000023827,GMW000000038566,2,1980-06-10T13:00:00+02:00,0.1,mg/l,,,1.3,mg/l,,,,,0.22,mg/l,18,mg/l,9,mg/l,214,mg/l,44,mg/l,10.2,mg/l,12,mg/l,2,mg/l,,,,
GAR000000020612,GMW000000038804,3,1980-07-10T13:00:00+02:00,0.3,mg/l,,,0.5,mg/l,,,,,0.4,mg/l,11,mg/l,8,mg/l,98,mg/l,29,mg/l,4,mg/l,4,mg/l,1,mg/l,,,,
GAR000000003856,GMW000000037748,2,1980-09-09T12:00:00+02:00,0.15,mg/l,0.006,mg/l,0.85,mg/l,,,0.07,mg/l,,,1210,mg/l,85,mg/l,,,255,mg/l,45,mg/l,510,mg/l,13,mg/l,6800,ug/l,,
GAR000000015729,GMW000000038900,3,1980-10-16T12:00:00+01:00,0.3,mg/l,,,0.49,mg/l,,,,,0.38,mg/l,25,mg/l,8,mg/l,212,mg/l,64,mg/l,5,mg/l,10,mg/l,2,mg/l,,,,
GAR000000030323,GMW000000038585,2,1980-12-09T12:00:00+01:00,0.1,mg/l,,,0.7,mg/l,,,,,0.08,mg/l,17,mg/l,29,mg/l,340,mg/l,110,mg/l,10,mg/l,6,mg/l,2,mg/l,,,,
GAR000000016989,GMW000000038526,1,1981-01-15T12:00:00+01:00,0.1,mg/l,,,0.26,mg/l,,,,,0.19,mg/l,48,mg/l,14,mg/l,40,mg/l,7,mg/l,8,mg/l,22,mg/l,2,mg/l,,,,
GAR000000019061,GMW000000038799,1,1981-02-09T12:00:00+01:00,0.1,mg/l,,,8,mg/l,,,,,0.11,mg/l,46,mg/l,58,mg/l,43,mg/l,10,mg/l,4,mg/l,27,mg/l,2,mg/l,,,,
GAR000000040318,GMW000000038749,2,1981-02-18T12:00:00+01:00,0.1,mg/l,,,0.3,mg/l,,,,,1.1,mg/l,9,mg/l,34,mg/l,33,mg/l,16,mg/l,1,mg/l,6,mg/l,1.7,mg/l,,,,
GAR000000032598,GMW000000038910,1,1981-02-20T12:00:00+01:00,90,mg/l,,,2,mg/l,,,,,0.26,mg/l,90,mg/l,89,mg/l,38,mg/l,158,mg/l,19.5,mg/l,48,mg/l,2.9,mg/l,,,,
GAR000000033909,GMW000000038790,3,1981-04-13T13:00:00+02:00,0.1,mg/l,,,4.2,mg/l,,,,,0.76,mg/l,490,mg/l,140,mg/l,709,mg/l,42,mg/l,85,mg/l,330,mg/l,63,mg/l,,,,
GAR000000028561,GMW000000038611,1,1981-05-12T13:00:00+02:00,0.9,mg/l,,,4.8,mg/l,,,,,0.08,mg/l,24,mg/l,48,mg/l,234,mg/l,73,mg/l,14,mg/l,14,mg/l,6,mg/l,,,,
GAR000000021668,GMW000000038587,3,1981-05-18T13:00:00+02:00,0.1,mg/l,,,1.2,mg/l,,,,,0.08,mg/l,73,mg/l,170,mg/l,107,mg/l,58,mg/l,11.3,mg/l,73,mg/l,3,mg/l,,,,
GAR000000027307,GMW000000038808,1,1981-06-15T13:00:00+02:00,0.1,mg/l,,,2.6,mg/l,,,,,0.13,mg/l,440,mg/l,79,mg/l,83,mg/l,130,mg/l,33,mg/l,130,mg/l,45,mg/l,,,,
GAR000000025805,GMW000000038708,1,1981-06-18T13:00:00+02:00,0.1,mg/l,,,17,mg/l,,,,,0.09,mg/l,3100,mg/l,10,mg/l,1120,mg/l,185,mg/l,240,mg/l,1700,mg/l,74,mg/l,,,,
GAR000000003964,GMW000000037641,2,1981-06-23T12:00:00+02:00,0.02,mg/l,0.006,mg/l,0.2,mg/l,,,0.0097,mg/l,,,14,mg/l,10,mg/l,,,35,mg/l,4,mg/l,8,mg/l,1,mg/l,940,ug/l,,
GAR000000024077,GMW000000038867,3,1981-06-23T13:00:00+02:00,0.4,mg/l,,,0.6,mg/l,,,,,0.14,mg/l,38,mg/l,110,mg/l,220,mg/l,97,mg/l,11.6,mg/l,21,mg/l,2.1,mg/l,,,,
GAR000000031518,GMW000000038686,3,1981-09-09T13:00:00+02:00,0.4,mg/l,,,1,mg/l,,,,,0.02,mg/l,53,mg/l,57,mg/l,144,mg/l,75,mg/l,4,mg/l,15,mg/l,1,mg/l,,,,
GAR000000035301,GMW000000038575,3,1981-11-09T12:00:00+01:00,0.1,mg/l,,,0.52,mg/l,,,,,0.01,mg/l,137,mg/l,84,mg/l,175,mg/l,84,mg/l,11,mg/l,71,mg/l,7,mg/l,,,,
GAR000000030008,GMW000000038713,3,1981-11-10T12:00:00+01:00,0.1,mg/l,,,0.28,mg/l,,,,,0.01,mg/l,70,mg/l,73,mg/l,370,mg/l,145,mg/l,15,mg/l,22,mg/l,3,mg/l,,,,
GAR000000022505,GMW000000038855,3,1982-01-22T12:00:00+01:00,0.1,mg/l,,,8.4,mg/l,,,,,1.5,mg/l,26,mg/l,8,mg/l,395,mg/l,56,mg/l,23,mg/l,41,mg/l,17,mg/l,,,,
GAR000000019513,GMW000000038869,3,1982-02-25T12:00:00+01:00,12,mg/l,,,41,mg/l,,,,,0.03,mg/l,2000,mg/l,1,mg/l,800,mg/l,330,mg/l,140,mg/l,940,mg/l,35,mg/l,,,,
GAR000000039819,GMW000000038912,1,1982-04-01T13:00:00+02:00,0.1,mg/l,,,16,mg/l,,,,,2.2,mg/l,11100,mg/l,470,mg/l,1600,mg/l,250,mg/l,720,mg/l,6000,mg/l,240,mg/l,,,,
GAR000000038480,GMW000000038737,3,1982-04-08T13:00:00+02:00,0.1,mg/l,,,2.2,mg/l,,,,,0.01,mg/l,25,mg/l,8,mg/l,334,mg/l,95,mg/l,8,mg/l,13,mg/l,4,mg/l,,,,
GAR000000040829,GMW000000038692,1,1982-04-09T13:00:00+02:00,0.2,mg/l,,,6.8,mg/l,,,,,0.01,mg/l,59,mg/l,130,mg/l,6,mg/l,34,mg/l,11,mg/l,28,mg/l,4,mg/l,,,,
GAR000000015403,GMW000000038655,1,1982-05-11T13:00:00+02:00,8.4,mg/l,,,0.52,mg/l,,,,,0.01,mg/l,26,mg/l,63,mg/l,78,mg/l,62,mg/l,7,mg/l,12,mg/l,1,mg/l,,,,
GAR000000028089,GMW000000038552,3,1982-08-02T13:00:00+02:00,0.1,mg/l,,,0.84,mg/l,,,,,0.18,mg/l,45,mg/l,31,mg/l,305,mg/l,93,mg/l,11,mg/l,25,mg/l,1,mg/l,,,,
GAR000000016635,GMW000000038824,1,1982-08-11T13:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000020271,GMW000000038630,3,1982-08-19T13:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000029357,GMW000000038775,1,1982-09-08T13:00:00+02:00,0.1,mg/l,,,3.1,mg/l,,,,,0.01,mg/l,38,mg/l,58,mg/l,256,mg/l,105,mg/l,3,mg/l,19,mg/l,1,mg/l,,,,
GAR000000031223,GMW000000038838,3,1982-10-11T12:00:00+01:00,0.1,mg/l,,,0.14,mg/l,,,,,0.21,mg/l,8,mg/l,8,mg/l,12,mg/l,3,mg/l,1,mg/l,8,mg/l,1,mg/l,,,,
GAR000000033910,GMW000000038790,3,1982-11-08T12:00:00+01:00,0.1,mg/l,,,4.5,mg/l,,,,,0.67,mg/l,390,mg/l,150,mg/l,620,mg/l,42,mg/l,72,mg/l,310,mg/l,69,mg/l,,,,
GAR000000035698,GMW000000038704,2,1982-11-10T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000032353,GMW000000038647,1,1982-11-19T12:00:00+01:00,0.1,mg/l,,,24,mg/l,,,,,2.5,mg/l,1320,mg/l,64,mg/l,720,mg/l,260,mg/l,150,mg/l,490,mg/l,43,mg/l,,,,
GAR000000052890,GMW000000045886,3,1983-01-01T11:00:00+01:00,,,,,,,,,,,,,16930,mg/l,,,,,,,,,,,,,,,,
GAR000000037635,GMW000000038773,2,1983-01-25T12:00:00+01:00,0.1,mg/l,,,1.8,mg/l,,,,,0.2,mg/l,180,mg/l,2,mg/l,250,mg/l,40,mg/l,8.2,mg/l,150,mg/l,4.8,mg/l,,,,
GAR000000022542,GMW000000038582,1,1983-02-25T12:00:00+01:00,2.2,mg/l,,,0.05,mg/l,,,0.01,mg/l,0.28,mg/l,13,mg/l,50,mg/l,1,mg/l,10,mg/l,6.6,mg/l,6,mg/l,2.1,mg/l,,,,
GAR000000024592,GMW000000038577,1,1983-03-03T12:00:00+01:00,0.1,mg/l,,,0.17,mg/l,,,0.01,mg/l,0.04,mg/l,97,mg/l,170,mg/l,71,mg/l,83,mg/l,16,mg/l,51,mg/l,9,mg/l,,,,
GAR000000020751,GMW000000038833,3,1983-03-16T12:00:00+01:00,0.1,mg/l,,,1.01,mg/l,,,0.01,mg/l,0.2,mg/l,65,mg/l,65,mg/l,218,mg/l,97,mg/l,11,mg/l,,,,,,,,
GAR000000019151,GMW000000038751,1,1983-05-19T13:00:00+02:00,0.5,mg/l,,,0.04,mg/l,,,0.01,mg/l,0.01,mg/l,11,mg/l,49,mg/l,11,mg/l,25,mg/l,5.6,mg/l,16,mg/l,12,mg/l,,,,
GAR000000036074,GMW000000038715,3,1983-06-13T13:00:00+02:00,0.1,mg/l,,,2.5,mg/l,,,0.15,mg/l,0.15,mg/l,187,mg/l,8,mg/l,398,mg/l,125,mg/l,28,mg/l,100,mg/l,9.5,mg/l,,,,
GAR000000033382,GMW000000038893,3,1983-06-22T13:00:00+02:00,0.1,mg/l,,,0.08,mg/l,,,0.01,mg/l,0.01,mg/l,8,mg/l,14,mg/l,13,mg/l,9,mg/l,0.1,mg/l,3,mg/l,0.8,mg/l,,,,
GAR000000058063,GMW000000051072,2,1983-06-29T12:00:00+02:00,,,,,,,,,,,,,2730,mg/l,,,,,,,,,,,,,,,,
GAR000000039796,GMW000000038912,1,1983-07-29T13:00:00+02:00,0.1,mg/l,,,15,mg/l,,,0.28,mg/l,1.7,mg/l,11000,mg/l,510,mg/l,1620,mg/l,930,mg/l,390,mg/l,6200,mg/l,180,mg/l,,,,
GAR000000030192,GMW000000038752,3,1983-09-14T13:00:00+02:00,0.1,mg/l,,,2.7,mg/l,,,0.2,mg/l,0.2,mg/l,123,mg/l,82,mg/l,206,mg/l,87,mg/l,11.6,mg/l,84,mg/l,5.9,mg/l,,,,
GAR000000026217,GMW000000038847,3,1983-09-20T13:00:00+02:00,0.1,mg/l,,,6,mg/l,,,0.02,mg/l,0.18,mg/l,30,mg/l,2,mg/l,358,mg/l,99,mg/l,12.4,mg/l,18,mg/l,1.5,mg/l,,,,
GAR000000004699,GMW000000037699,2,1983-11-08T11:00:00+01:00,0.11,mg/l,0.01,mg/l,3.73,mg/l,,,0.11,mg/l,,,800,mg/l,7,mg/l,,,100,mg/l,13,mg/l,350,mg/l,6,mg/l,14000,ug/l,,
GAR000000028111,GMW000000038902,1,1983-11-23T12:00:00+01:00,0.8,mg/l,,,5.4,mg/l,,,1.5,mg/l,1.6,mg/l,105,mg/l,77,mg/l,444,mg/l,120,mg/l,17.8,mg/l,77,mg/l,29,mg/l,,,,
GAR000000053375,GMW000000045886,4,1984-01-01T11:00:00+01:00,,,,,,,,,,,,,17410,mg/l,,,,,,,,,,,,,,,,
GAR000000033093,GMW000000038639,3,1984-04-03T13:00:00+02:00,1.4,mg/l,,,0.02,mg/l,,,0.01,mg/l,0.19,mg/l,16,mg/l,13,mg/l,93,mg/l,26,mg/l,3.6,mg/l,9,mg/l,0.8,mg/l,,,,
GAR000000016223,GMW000000038919,3,1984-04-25T13:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000022020,GMW000000038836,1,1984-04-26T13:00:00+02:00,0.1,mg/l,,,0.11,mg/l,,,0.01,mg/l,0.11,mg/l,23,mg/l,75,mg/l,1,mg/l,15,mg/l,6.4,mg/l,11,mg/l,3.6,mg/l,,,,
GAR000000024284,GMW000000038825,3,1984-05-07T13:00:00+02:00,0.1,mg/l,,,0.85,mg/l,,,0.08,mg/l,0.2,mg/l,68,mg/l,110,mg/l,107,mg/l,80,mg/l,6,mg/l,22,mg/l,1.1,mg/l,,,,
GAR000000036787,GMW000000038874,3,1984-06-22T13:00:00+02:00,0.1,mg/l,,,0.01,mg/l,,,0.04,mg/l,0.06,mg/l,8,mg/l,10,mg/l,117,mg/l,34,mg/l,1.6,mg/l,7,mg/l,0.6,mg/l,,,,
GAR000000034955,GMW000000038888,3,1984-07-11T13:00:00+02:00,0.1,mg/l,,,0.11,mg/l,,,0.03,mg/l,0.07,mg/l,20,mg/l,23,mg/l,97,mg/l,38,mg/l,3.2,mg/l,12,mg/l,1.5,mg/l,,,,
GAR000000026302,GMW000000038916,1,1984-08-20T13:00:00+02:00,0.1,mg/l,,,0.47,mg/l,,,0.03,mg/l,0.02,mg/l,14,mg/l,24,mg/l,5,mg/l,4,mg/l,4.2,mg/l,11,mg/l,2.2,mg/l,,,,
GAR000000039780,GMW000000038564,1,1984-09-07T13:00:00+02:00,0.1,mg/l,,,0.28,mg/l,,,0.01,mg/l,0.14,mg/l,111,mg/l,1,mg/l,325,mg/l,110,mg/l,10,mg/l,75,mg/l,1.6,mg/l,,,,
GAR000000018178,GMW000000038729,3,1984-09-26T13:00:00+02:00,0.1,mg/l,,,11.2,mg/l,,,0.02,mg/l,0.26,mg/l,178,mg/l,9,mg/l,391,mg/l,130,mg/l,13,mg/l,83,mg/l,5.2,mg/l,,,,
GAR000000019922,GMW000000038580,1,1984-10-02T12:00:00+01:00,0.1,mg/l,,,4.6,mg/l,,,0.27,mg/l,0.63,mg/l,146,mg/l,44,mg/l,254,mg/l,94,mg/l,11,mg/l,85,mg/l,5.7,mg/l,,,,
GAR000000028432,GMW000000038854,1,1984-10-18T12:00:00+01:00,23,mg/l,,,0.05,mg/l,,,0.01,mg/l,0.02,mg/l,91,mg/l,140,mg/l,336,mg/l,170,mg/l,24,mg/l,54,mg/l,72,mg/l,,,,
GAR000000004040,GMW000000037735,1,1984-10-31T11:00:00+01:00,0.02,mg/l,0.006,mg/l,0.59,mg/l,,,0.03,mg/l,,,8,mg/l,7,mg/l,,,39,mg/l,3,mg/l,11,mg/l,1,mg/l,480,ug/l,,
GAR000000030986,GMW000000038565,3,1984-11-01T12:00:00+01:00,0.1,mg/l,,,0.25,mg/l,,,0.19,mg/l,0.19,mg/l,10,mg/l,14,mg/l,112,mg/l,24,mg/l,2.5,mg/l,8,mg/l,0.6,mg/l,,,,
GAR000000034505,GMW000000038627,1,1985-04-15T13:00:00+02:00,1.69,mg/l,,,0.01,mg/l,,,,,0.06,mg/l,56.7,mg/l,59,mg/l,23.2,mg/l,21.3,mg/l,5.54,mg/l,29.1,mg/l,19.8,mg/l,,,,
GAR000000032231,GMW000000038702,3,1985-04-17T13:00:00+02:00,0.3,mg/l,,,9.99,mg/l,,,,,1.05,mg/l,90.1,mg/l,7.12,mg/l,692,mg/l,92,mg/l,76.2,mg/l,49.9,mg/l,27.6,mg/l,,,,
GAR000000036686,GMW000000038600,1,1985-06-04T13:00:00+02:00,0.3,mg/l,,,23.6,mg/l,,,,,0.09,mg/l,439,mg/l,1.11,mg/l,686,mg/l,174,mg/l,52.7,mg/l,202,mg/l,14.3,mg/l,,,,
GAR000000054237,GMW000000057281,2,1985-06-05T12:00:00+02:00,,,,,,,,,,,,,3091,mg/l,,,,,,,,,,,,,,,,
GAR000000021623,GMW000000038587,1,1985-06-21T13:00:00+02:00,0.3,mg/l,,,0.18,mg/l,,,,,0.06,mg/l,299,mg/l,108,mg/l,305,mg/l,109,mg/l,19.7,mg/l,186,mg/l,20,mg/l,,,,
GAR000000024405,GMW000000038673,3,1985-07-01T13:00:00+02:00,0.3,mg/l,,,0.11,mg/l,,,,,0.06,mg/l,38.9,mg/l,68.4,mg/l,15.3,mg/l,31.1,mg/l,4.07,mg/l,15.3,mg/l,4.36,mg/l,,,,
GAR000000026887,GMW000000038717,1,1985-09-16T13:00:00+02:00,0.3,mg/l,,,6.83,mg/l,,,,,0.16,mg/l,525,mg/l,54.2,mg/l,206,mg/l,124,mg/l,9.11,mg/l,294,mg/l,3.43,mg/l,,,,
GAR000000039976,GMW000000038880,3,1985-09-24T13:00:00+02:00,0.3,mg/l,,,40.9,mg/l,,,,,3.01,mg/l,10600,mg/l,79.4,mg/l,2170,mg/l,453,mg/l,665,mg/l,5600,mg/l,128,mg/l,,,,
GAR000000019456,GMW000000038861,1,1985-10-25T12:00:00+01:00,0.3,mg/l,,,29.8,mg/l,,,,,6.88,mg/l,2030,mg/l,9.99,mg/l,1810,mg/l,128,mg/l,184,mg/l,1380,mg/l,59.3,mg/l,,,,
GAR000000016897,GMW000000038766,1,1985-10-31T12:00:00+01:00,0.3,mg/l,,,0.06,mg/l,,,,,0.12,mg/l,12.6,mg/l,29.1,mg/l,84.8,mg/l,35.1,mg/l,2.73,mg/l,7.53,mg/l,0.65,mg/l,,,,
GAR000000057221,GMW000000057217,2,1985-11-05T11:00:00+01:00,,,,,,,,,,,,,696,mg/l,,,,,,,,,,,,,,,,
GAR000000003805,GMW000000037745,1,1985-11-07T11:00:00+01:00,0.9,mg/l,0.12,mg/l,24.89,mg/l,,,0.2,mg/l,,,1400,mg/l,400,mg/l,,,610,mg/l,60,mg/l,590,mg/l,16,mg/l,38000,ug/l,,
GAR000000029529,GMW000000038665,3,1985-11-08T12:00:00+01:00,0.3,mg/l,,,2.25,mg/l,,,,,0.4,mg/l,111,mg/l,8.28,mg/l,317,mg/l,91,mg/l,9.31,mg/l,61.5,mg/l,1.49,mg/l,,,,
GAR000000052608,GMW000000050982,1,1985-12-12T11:00:00+01:00,,,,,,,,,,,,,82,mg/l,,,,,,,,,,,,,,,,
GAR000000017696,GMW000000038817,1,1986-05-12T13:00:00+02:00,0.3,mg/l,,,0.07,mg/l,,,,,0.12,mg/l,28.4,mg/l,46,mg/l,3,mg/l,6.89,mg/l,2.81,mg/l,23.4,mg/l,6.66,mg/l,,,,
GAR000000035803,GMW000000038573,3,1986-05-15T13:00:00+02:00,0.61,mg/l,,,3.06,mg/l,,,,,12.5,mg/l,2790,mg/l,30.9,mg/l,1460,mg/l,36.3,mg/l,100,mg/l,2140,mg/l,75.3,mg/l,,,,
GAR000000033012,GMW000000038841,3,1986-05-29T13:00:00+02:00,0.3,mg/l,,,0.34,mg/l,,,,,0.06,mg/l,23.7,mg/l,48.6,mg/l,3,mg/l,18,mg/l,2.77,mg/l,9.62,mg/l,1.9,mg/l,,,,
GAR000000029912,GMW000000038713,1,1986-08-15T13:00:00+02:00,0.3,mg/l,,,0.43,mg/l,,,,,0.47,mg/l,114,mg/l,57.4,mg/l,350,mg/l,120,mg/l,14.5,mg/l,55.5,mg/l,18.8,mg/l,,,,
GAR000000053988,GMW000000050743,1,1986-09-11T12:00:00+02:00,,,,,,,,,,,,,15269,mg/l,,,,,,,,,,,,,,,,
GAR000000026611,GMW000000038884,1,1986-09-17T13:00:00+02:00,0.39,mg/l,,,0.03,mg/l,,,,,0.06,mg/l,8.52,mg/l,11.3,mg/l,3,mg/l,2.16,mg/l,2.15,mg/l,4.64,mg/l,1.02,mg/l,,,,
GAR000000023459,GMW000000038794,3,1986-09-18T13:00:00+02:00,0.3,mg/l,,,4.24,mg/l,,,,,0.09,mg/l,54.1,mg/l,7.15,mg/l,98.8,mg/l,20.4,mg/l,3.8,mg/l,36.2,mg/l,1.9,mg/l,,,,
GAR000000059234,GMW000000050750,2,1986-09-24T12:00:00+02:00,,,,,,,,,,,,,12804,mg/l,,,,,,,,,,,,,,,,
GAR000000039489,GMW000000038733,1,1986-10-02T12:00:00+01:00,1.36,mg/l,,,4.98,mg/l,,,,,0.12,mg/l,217,mg/l,7.71,mg/l,570,mg/l,149,mg/l,37.5,mg/l,115,mg/l,7.62,mg/l,,,,
GAR000000055346,GMW000000050709,2,1986-10-08T11:00:00+01:00,,,,,,,,,,,,,12406,mg/l,,,,,,,,,,,,,,,,
GAR000000052080,GMW000000050982,2,1986-10-08T11:00:00+01:00,,,,,,,,,,,,,14054,mg/l,,,,,,,,,,,,,,,,
GAR000000003803,GMW000000037732,2,1986-10-31T11:00:00+01:00,0.22,mg/l,0.006,mg/l,33.45,mg/l,,,3.26,mg/l,,,890,mg/l,4,mg/l,,,230,mg/l,35,mg/l,620,mg/l,30,mg/l,6800,ug/l,,
GAR000000020355,GMW000000038732,1,1986-11-03T12:00:00+01:00,0.3,mg/l,,,7.63,mg/l,,,,,2.26,mg/l,103,mg/l,18.1,mg/l,239,mg/l,77.4,mg/l,9.29,mg/l,62.2,mg/l,9.09,mg/l,,,,
GAR000000057362,GMW000000004885,1,1986-11-26T11:00:00+01:00,,,,,,,,,,,,,176,mg/l,,,,,,,,,,,,,,,,
GAR000000032326,GMW000000038758,3,1987-04-03T13:00:00+02:00,0.3,mg/l,,,10.4,mg/l,,,,,0.99,mg/l,1270,mg/l,2.01,mg/l,891,mg/l,170,mg/l,116,mg/l,722,mg/l,30.1,mg/l,,,,
GAR000000018755,GMW000000038866,1,1987-04-23T13:00:00+02:00,0.3,mg/l,,,2.77,mg/l,,,,,0.06,mg/l,12.6,mg/l,1.21,mg/l,203,mg/l,38.2,mg/l,15.2,mg/l,10.2,mg/l,1.66,mg/l,,,,
GAR000000056453,GMW000000057349,1,1987-05-12T12:00:00+02:00,,,,,,,,,,,,,220,mg/l,,,,,,,,,,,,,,,,
GAR000000062149,GMW000000050715,1,1987-06-05T12:00:00+02:00,,,,,,,,,,,,,12640,mg/l,,,,,,,,,,,,,,,,
GAR000000057555,GMW000000050968,1,1987-08-07T12:00:00+02:00,,,,,,,,,,,,,165,mg/l,,,,,,,,,,,,,,,,
GAR000000041486,GMW000000038563,1,1987-08-31T13:00:00+02:00,0.3,mg/l,,,1.38,mg/l,,,,,0.19,mg/l,67.9,mg/l,156,mg/l,294,mg/l,148,mg/l,6.96,mg/l,49.5,mg/l,7.55,mg/l,,,,
GAR000000023033,GMW000000038572,3,1987-10-05T12:00:00+01:00,0.3,mg/l,,,4.4,mg/l,,,,,2.36,mg/l,1180,mg/l,76.8,mg/l,1280,mg/l,48.6,mg/l,68,mg/l,1070,mg/l,66.3,mg/l,,,,
GAR000000036288,GMW000000038598,1,1987-10-14T12:00:00+01:00,0.3,mg/l,,,4,mg/l,,,,,0.12,mg/l,1780,mg/l,1.93,mg/l,102,mg/l,263,mg/l,50.1,mg/l,766,mg/l,8.99,mg/l,,,,
GAR000000004187,GMW000000037614,3,1987-10-16T11:00:00+01:00,0.22,mg/l,0.006,mg/l,0.29,mg/l,,,0.06,mg/l,,,135,mg/l,5,mg/l,,,82,mg/l,5,mg/l,42,mg/l,2,mg/l,3100,ug/l,,
GAR000000055069,GMW000000050865,2,1987-10-22T11:00:00+01:00,,,,,,,,,,,,,9819,mg/l,,,,,,,,,,,,,,,,
GAR000000052721,GMW000000050822,1,1987-10-28T11:00:00+01:00,,,,,,,,,,,,,14165,mg/l,,,,,,,,,,,,,,,,
GAR000000053890,GMW000000050864,2,1987-10-29T11:00:00+01:00,,,,,,,,,,,,,16870,mg/l,,,,,,,,,,,,,,,,
GAR000000027614,GMW000000038756,3,1987-11-16T12:00:00+01:00,0.3,mg/l,,,3.81,mg/l,,,,,0.28,mg/l,555,mg/l,0.25,mg/l,462,mg/l,275,mg/l,19,mg/l,190,mg/l,3.69,mg/l,,,,
GAR000000058785,GMW000000050926,1,1987-12-29T11:00:00+01:00,,,,,,,,,,,,,1195,mg/l,,,,,,,,,,,,,,,,
GAR000000056899,GMW000000057286,1,1988-01-05T11:00:00+01:00,,,,,,,,,,,,,250,mg/l,,,,,,,,,,,,,,,,
GAR000000053267,GMW000000050981,2,1988-05-10T12:00:00+02:00,,,,,,,,,,,,,10580,mg/l,,,,,,,,,,,,,,,,
GAR000000057833,GMW000000057310,2,1988-05-16T12:00:00+02:00,,,,,,,,,,,,,3140,mg/l,,,,,,,,,,,,,,,,
GAR000000024964,GMW000000038911,1,1988-05-24T13:00:00+02:00,0.28,mg/l,,,22.87,mg/l,,,,,0.9,mg/l,179,mg/l,0.2,mg/l,427,mg/l,146,mg/l,13.39,mg/l,48.14,mg/l,2.68,mg/l,,,,
GAR000000062356,GMW000000057179,2,1988-06-08T12:00:00+02:00,,,,,,,,,,,,,2815,mg/l,,,,,,,,,,,,,,,,
GAR000000030028,GMW000000038637,3,1988-06-17T13:00:00+02:00,0.28,mg/l,,,0.61,mg/l,,,,,0.53,mg/l,108,mg/l,49.1,mg/l,272,mg/l,102,mg/l,9.63,mg/l,61.15,mg/l,1.04,mg/l,,,,
GAR000000034623,GMW000000038762,1,1988-08-16T13:00:00+02:00,0.28,mg/l,,,0.14,mg/l,,,,,0.38,mg/l,69.7,mg/l,82.1,mg/l,393,mg/l,94.6,mg/l,14.77,mg/l,38.83,mg/l,101.5,mg/l,,,,
GAR000000039498,GMW000000038733,1,1988-09-01T13:00:00+02:00,0.28,mg/l,,,4.68,mg/l,,,,,3,mg/l,205,mg/l,2.2,mg/l,604,mg/l,143,mg/l,40.32,mg/l,123.6,mg/l,7.07,mg/l,,,,
GAR000000020123,GMW000000038615,3,1988-09-27T12:00:00+01:00,0.28,mg/l,,,4.23,mg/l,,,,,7.56,mg/l,6364,mg/l,723,mg/l,1726,mg/l,87.7,mg/l,299.8,mg/l,4147,mg/l,135.51,mg/l,,,,
