dataset;location;period;N_total_mgN_per_l;P_total_mgP_per_l;n_fields;notes;source
Measured drainwater bloembollen - Rijnland (12 fields);Rijnland (Duin- en Bollenstreek, Zuid-Holland);2016-2023;8.8;6.0;12;Year-averaged means over 12 bulb fields; peilgestuurde buisdrainage collected water; measured for Hoogheemraadschap van Rijnland (monitoring incl. ijzerzanddrains pilots);WENR Rapport 3442 (2025) Fig 4.3 / p.42
Measured drainwater bloembollen - Rijnland (2016 peak);Rijnland (Zuid-Holland);2016;17.0;;12;2016 N range 5-34 mgN/l, mean 17 mgN/l (very high N year);WENR Rapport 3442 (2025) p.42
Measured drainwater bloembollen - pilot Egmond aan den Hoef;Egmond aan den Hoef (Noord-Holland);2009-2015;5.5;3.1;1;Pilot bulb field; averaged concentrations; only historic (2011-2014/2009-2015) NH data available;WENR Rapport 3442 (2025) p.42 (Groenenberg et al. 2015; Buijert et al. 2015)
Rijnland Sobek-Delwaq model assumption (bloembollen emission);Rijnland (Zuid-Holland);model;6.5;6.0;;Concentration assumed for bulb-field emissions in Rijnland Sobek-Delwaq water quality model;WENR 3442 (2025) p.42 (Arcadis 2020) / also used in regional bronnenanalyse Zuid-Holland (WUR 2025)
KRW-ECHO scenario leaching concentration (bloembollen zand);Noord- en Zuid-Holland;scenario;;6.0;;Leaching concentration of 6.0 mgP/l applied for bulb fields on sand in KRW-ECHO scenario (Tabel 4.2);WENR 3442 (2025) p.43
Fase-1 pilot drainwater (background, Duin- en Bollenstreek);Duin- en Bollenstreek proeflocatie;2009-2013;4.0-9.0;6.0;3;3 percelen (A, O/B, M); totaal-P mean 6 mg/l (~50 kg P/ha/yr); N 4-9 mg/l (~60 kg N/ha/yr);Bodem nr.6 dec 2014 (Krol & van Rooden) edepot.wur.nl/650777 / van Rooden 2013
