tmv_locatie,ronde,periode_bemonstering,lab_no3n_mgNl,lab_no3_mgl,lab_no3_below_detection,lab_ph,lab_ec_uScm,field_no3n_min_mgNl,field_no3n_mean_mgNl,field_no3n_max_mgNl
162,5,2009-2011,1.28,5.667,0,6.4,594.0,1.0,2.2,10.5
163,5,2009-2011,2.348,10.395,0,4.2,222.0,1.0,2.6,6.7
164,5,2009-2011,20.451,90.54,0,4.1,728.0,1.1,25.0,64.6
165,5,2009-2011,6.133,27.152,0,4.2,121.0,1.2,5.8,22.2
166,5,2009-2011,8.025,35.528,0,5.6,438.0,1.4,11.3,66.1
167,5,2009-2011,0.56,2.479,0,4.4,120.0,1.88,1.3,3.6
169,5,2009-2011,3.974,17.594,0,4.4,94.0,1.41,4.6,29.6
170,5,2009-2011,1.847,8.177,0,4.4,104.0,1.25,2.7,6.3
171,5,2009-2011,1.502,6.65,0,4.5,116.0,1.33,2.2,4.8
172,5,2009-2011,0.727,3.219,0,4.4,124.0,1.88,1.9,3.1
173,5,2009-2011,1.228,5.437,0,4.2,126.0,1.2,2.5,4.1
174,5,2009-2011,2.556,11.316,0,4.2,135.0,1.1,4.2,15.3
175,5,2009-2011,3.83,16.956,0,4.3,170.0,1.8,4.4,14.3
176,5,2009-2011,0.07,0.31,1,4.0,289.0,3.1,2.2,2.92
177,5,2009-2011,1.899,8.407,0,5.1,234.0,4.2,9.0,21.8
178,5,2009-2011,3.76,16.646,0,4.1,231.0,1.6,3.9,6.71
179,5,2009-2011,0.409,1.811,0,4.3,68.0,1.6,1.9,3.03
201,5,2009-2011,0.691,3.059,0,4.6,81.0,1.2,1.7,2.33
203,5,2009-2011,0.614,2.718,0,5.2,46.0,3.4,1.5,2.86
205,5,2009-2011,2.902,12.848,0,4.2,123.0,1.1,4.5,11.07
207,5,2009-2011,0.081,0.359,0,6.8,911.0,3.7,1.0,1.07
209,5,2009-2011,4.751,21.033,0,4.3,227.0,2.0,6.1,18.14
213,5,2009-2011,2.238,9.908,0,4.3,101.0,1.2,3.7,13.39
214,5,2009-2011,11.415,50.536,0,3.9,322.0,,,
216,5,2009-2011,4.787,21.193,0,4.3,143.0,,,
217,5,2009-2011,0.07,0.31,1,5.1,90.0,1.61,10.7,22.88
218,5,2009-2011,0.985,4.361,0,4.3,145.0,,,
220,5,2009-2011,5.661,25.062,0,6.4,920.0,1.12,1.3,1.58
222,5,2009-2011,1.463,6.477,0,6.3,88.0,,,
225,5,2009-2011,1.183,5.237,0,4.6,117.0,1.1,2.8,6.41
226,5,2009-2011,7.686,34.027,0,4.0,133.0,,,
227,5,2009-2011,4.256,18.842,0,3.8,262.0,2.07,6.3,15.55
228,5,2009-2011,6.738,29.83,0,4.7,212.0,,,
