FID,Rapportagejaar,WaterlichaamCode,KRWkwaliteitselementCode,KRWkwaliteitselementOmschrijving,Classificatie,naam,lengteKM,oppervlakteKM2,stroomgebieddistrictNaam,oppervlaktewaterCategorie,oppervlaktewaterWatertypeCode,oppervlaktewaterWatertypeOmschrijving,waterbeheerderCode,waterbeheerderNaam
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_18.Nanorg,2021,NL14_18,Nanorg,DIN,Niet van toepassing,Galecop,,0.07732,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_19.Ptot,2021,NL14_19,Ptot,Fosfor totaal,Goed,Gerverscop,,0.01917,Rijn,Meer,M1a,Zoete gebufferde sloten,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_19.Nanorg,2021,NL14_19,Nanorg,DIN,Niet van toepassing,Gerverscop,,0.01917,Rijn,Meer,M1a,Zoete gebufferde sloten,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_19.Ntot,2021,NL14_19,Ntot,Stikstof totaal,Goed,Gerverscop,,0.01917,Rijn,Meer,M1a,Zoete gebufferde sloten,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_20.Nanorg,2021,NL14_20,Nanorg,DIN,Niet van toepassing,De Tol,,0.04223,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_20.Ntot,2021,NL14_20,Ntot,Stikstof totaal,Goed,De Tol,,0.04223,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_20.Ptot,2021,NL14_20,Ptot,Fosfor totaal,Matig,De Tol,,0.04223,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_21.Ptot,2021,NL14_21,Ptot,Fosfor totaal,Goed,Ouwenaar-Haarrijn,,0.0544,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_21.Nanorg,2021,NL14_21,Nanorg,DIN,Niet van toepassing,Ouwenaar-Haarrijn,,0.0544,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_21.Ntot,2021,NL14_21,Ntot,Stikstof totaal,Goed,Ouwenaar-Haarrijn,,0.0544,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_22.Ntot,2021,NL14_22,Ntot,Stikstof totaal,Goed,Wiericke's,,0.43352,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_22.Ptot,2021,NL14_22,Ptot,Fosfor totaal,Matig,Wiericke's,,0.43352,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_22.Nanorg,2021,NL14_22,Nanorg,DIN,Niet van toepassing,Wiericke's,,0.43352,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_23.Ptot,2021,NL14_23,Ptot,Fosfor totaal,Matig,Snelrewaard,,0.05072,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_23.Nanorg,2021,NL14_23,Nanorg,DIN,Niet van toepassing,Snelrewaard,,0.05072,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_23.Ntot,2021,NL14_23,Ntot,Stikstof totaal,Goed,Snelrewaard,,0.05072,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_24.Nanorg,2021,NL14_24,Nanorg,DIN,Niet van toepassing,Lange Linschoten,,0.14034,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_24.Ptot,2021,NL14_24,Ptot,Fosfor totaal,Goed,Lange Linschoten,,0.14034,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_24.Ntot,2021,NL14_24,Ntot,Stikstof totaal,Goed,Lange Linschoten,,0.14034,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_25.Ntot,2021,NL14_25,Ntot,Stikstof totaal,Goed,Montfoortse Vaart,,0.04801,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_25.Nanorg,2021,NL14_25,Nanorg,DIN,Niet van toepassing,Montfoortse Vaart,,0.04801,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_25.Ptot,2021,NL14_25,Ptot,Fosfor totaal,Goed,Montfoortse Vaart,,0.04801,Rijn,Meer,M3,Gebufferde (regionale) kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_26.Ptot,2021,NL14_26,Ptot,Fosfor totaal,Matig,Meijepolder,,0.07037,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_26.Ntot,2021,NL14_26,Ntot,Stikstof totaal,Goed,Meijepolder,,0.07037,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_26.Nanorg,2021,NL14_26,Nanorg,DIN,Niet van toepassing,Meijepolder,,0.07037,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_27.Ptot,2021,NL14_27,Ptot,Fosfor totaal,Goed,Oude Rijn,,0.54426,Rijn,Meer,M6b,Grote ondiepe kanalen met scheepvaart,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_27.Nanorg,2021,NL14_27,Nanorg,DIN,Niet van toepassing,Oude Rijn,,0.54426,Rijn,Meer,M6b,Grote ondiepe kanalen met scheepvaart,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_27.Ntot,2021,NL14_27,Ntot,Stikstof totaal,Goed,Oude Rijn,,0.54426,Rijn,Meer,M6b,Grote ondiepe kanalen met scheepvaart,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_28.Nanorg,2021,NL14_28,Nanorg,DIN,Niet van toepassing,Zegveld,,0.07928,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_28.Ntot,2021,NL14_28,Ntot,Stikstof totaal,Goed,Zegveld,,0.07928,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_28.Ptot,2021,NL14_28,Ptot,Fosfor totaal,Goed,Zegveld,,0.07928,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_29.Ntot,2021,NL14_29,Ntot,Stikstof totaal,Goed,Grecht,,0.16989,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_29.Ptot,2021,NL14_29,Ptot,Fosfor totaal,Matig,Grecht,,0.16989,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_29.Nanorg,2021,NL14_29,Nanorg,DIN,Niet van toepassing,Grecht,,0.16989,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_30.Nanorg,2021,NL14_30,Nanorg,DIN,Niet van toepassing,Kockengen,,0.06012,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_30.Ptot,2021,NL14_30,Ptot,Fosfor totaal,Goed,Kockengen,,0.06012,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_30.Ntot,2021,NL14_30,Ntot,Stikstof totaal,Goed,Kockengen,,0.06012,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_32.Ptot,2021,NL14_32,Ptot,Fosfor totaal,Goed,Houtensewetering,,0.01254,Rijn,Meer,M1a,Zoete gebufferde sloten,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_32.Nanorg,2021,NL14_32,Nanorg,DIN,Niet van toepassing,Houtensewetering,,0.01254,Rijn,Meer,M1a,Zoete gebufferde sloten,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_32.Ntot,2021,NL14_32,Ntot,Stikstof totaal,Goed,Houtensewetering,,0.01254,Rijn,Meer,M1a,Zoete gebufferde sloten,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_33.Nanorg,2021,NL14_33,Nanorg,DIN,Niet van toepassing,Oud Kamerik,,0.05531,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_33.Ptot,2021,NL14_33,Ptot,Fosfor totaal,Matig,Oud Kamerik,,0.05531,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL14_33.Ntot,2021,NL14_33,Ntot,Stikstof totaal,Goed,Oud Kamerik,,0.05531,Rijn,Meer,M10,Laagveen vaarten en kanalen,14,Hoogheemraadschap De Stichtse Rijnlanden
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_01a.Ptot,2021,NL15_01a,Ptot,Fosfor totaal,Matig,boezem Haaglanden,,0.5597,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_01a.Nanorg,2021,NL15_01a,Nanorg,DIN,Niet van toepassing,boezem Haaglanden,,0.5597,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_01a.Ntot,2021,NL15_01a,Ntot,Stikstof totaal,Matig,boezem Haaglanden,,0.5597,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_01b.Nanorg,2021,NL15_01b,Nanorg,DIN,Niet van toepassing,boezem Schie,,1.64806,Rijn,Meer,M7b,Grote diepe kanalen met scheepvaart,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_01b.Ntot,2021,NL15_01b,Ntot,Stikstof totaal,Matig,boezem Schie,,1.64806,Rijn,Meer,M7b,Grote diepe kanalen met scheepvaart,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_01b.Ptot,2021,NL15_01b,Ptot,Fosfor totaal,Matig,boezem Schie,,1.64806,Rijn,Meer,M7b,Grote diepe kanalen met scheepvaart,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_02a.Ptot,2021,NL15_02a,Ptot,Fosfor totaal,Ontoereikend,boezem Westland,,1.05103,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_02a.Ntot,2021,NL15_02a,Ntot,Stikstof totaal,Matig,boezem Westland,,1.05103,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_02a.Nanorg,2021,NL15_02a,Nanorg,DIN,Niet van toepassing,boezem Westland,,1.05103,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_02b.Nanorg,2021,NL15_02b,Nanorg,DIN,Niet van toepassing,boezem Midden-Delfland,,1.16274,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_02b.Ptot,2021,NL15_02b,Ptot,Fosfor totaal,Matig,boezem Midden-Delfland,,1.16274,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_02b.Ntot,2021,NL15_02b,Ntot,Stikstof totaal,Matig,boezem Midden-Delfland,,1.16274,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_04.Ntot,2021,NL15_04,Ntot,Stikstof totaal,Matig,Zuidpolder Delfgauw,,0.1054,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_04.Nanorg,2021,NL15_04,Nanorg,DIN,Niet van toepassing,Zuidpolder Delfgauw,,0.1054,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_04.Ptot,2021,NL15_04,Ptot,Fosfor totaal,Matig,Zuidpolder Delfgauw,,0.1054,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_05.Ptot,2021,NL15_05,Ptot,Fosfor totaal,Goed,Polder Berkel,,0.15467,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_05.Ntot,2021,NL15_05,Ntot,Stikstof totaal,Matig,Polder Berkel,,0.15467,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_05.Nanorg,2021,NL15_05,Nanorg,DIN,Niet van toepassing,Polder Berkel,,0.15467,Rijn,Meer,M3,Gebufferde (regionale) kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_06.Ntot,2021,NL15_06,Ntot,Stikstof totaal,Matig,Holierhoekse en Zouteveensepolder,,0.04459,Rijn,Meer,M10,Laagveen vaarten en kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_06.Ptot,2021,NL15_06,Ptot,Fosfor totaal,Matig,Holierhoekse en Zouteveensepolder,,0.04459,Rijn,Meer,M10,Laagveen vaarten en kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_06.Nanorg,2021,NL15_06,Nanorg,DIN,Niet van toepassing,Holierhoekse en Zouteveensepolder,,0.04459,Rijn,Meer,M10,Laagveen vaarten en kanalen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_07.Ptot,2021,NL15_07,Ptot,Fosfor totaal,Goed,Duinwater Solleveld,,0.09256,Rijn,Meer,M14,Grote ondiepe gebufferde plassen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_07.Nanorg,2021,NL15_07,Nanorg,DIN,Niet van toepassing,Duinwater Solleveld,,0.09256,Rijn,Meer,M14,Grote ondiepe gebufferde plassen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL15_07.Ntot,2021,NL15_07,Ntot,Stikstof totaal,Goed,Duinwater Solleveld,,0.09256,Rijn,Meer,M14,Grote ondiepe gebufferde plassen,15,Hoogheemraadschap van Delfland
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M101.Ntot,2021,NL34M101,Ntot,Stikstof totaal,Goed,Hoendiep-Aduarderdiep,,0.53834,Rijn,Meer,M7b,Grote diepe kanalen met scheepvaart,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M101.Ptot,2021,NL34M101,Ptot,Fosfor totaal,Goed,Hoendiep-Aduarderdiep,,0.53834,Rijn,Meer,M7b,Grote diepe kanalen met scheepvaart,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M101.Nanorg,2021,NL34M101,Nanorg,DIN,Niet van toepassing,Hoendiep-Aduarderdiep,,0.53834,Rijn,Meer,M7b,Grote diepe kanalen met scheepvaart,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_REEST.Ntot,2021,NL59_REEST,Ntot,Stikstof totaal,Goed,Reest,33.7,,Rijn,Rivier,R12,Langzaam stromende middenloop/benedenloop op veenbodem,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_REEST.Ptot,2021,NL59_REEST,Ptot,Fosfor totaal,Goed,Reest,33.7,,Rijn,Rivier,R12,Langzaam stromende middenloop/benedenloop op veenbodem,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_REEST.Nanorg,2021,NL59_REEST,Nanorg,DIN,Niet van toepassing,Reest,33.7,,Rijn,Rivier,R12,Langzaam stromende middenloop/benedenloop op veenbodem,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_REESTVERVANGENDE-LE.Ptot,2021,NL59_REESTVERVANGENDE-LE,Ptot,Fosfor totaal,Goed,Reestvervangende Leiding,,0.02283,Rijn,Meer,M3,Gebufferde (regionale) kanalen,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_REESTVERVANGENDE-LE.Nanorg,2021,NL59_REESTVERVANGENDE-LE,Nanorg,DIN,Niet van toepassing,Reestvervangende Leiding,,0.02283,Rijn,Meer,M3,Gebufferde (regionale) kanalen,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_REESTVERVANGENDE-LE.Ntot,2021,NL59_REESTVERVANGENDE-LE,Ntot,Stikstof totaal,Goed,Reestvervangende Leiding,,0.02283,Rijn,Meer,M3,Gebufferde (regionale) kanalen,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-NIEUWEWTR-BE.Ptot,2021,NL59_SAL-NIEUWEWTR-BE,Ptot,Fosfor totaal,Goed,Nieuwe Wetering (benedenloop),7.53,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-NIEUWEWTR-BE.Ntot,2021,NL59_SAL-NIEUWEWTR-BE,Ntot,Stikstof totaal,Goed,Nieuwe Wetering (benedenloop),7.53,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-NIEUWEWTR-BE.Nanorg,2021,NL59_SAL-NIEUWEWTR-BE,Nanorg,DIN,Niet van toepassing,Nieuwe Wetering (benedenloop),7.53,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-NIEUWEWTR-BO.Ptot,2021,NL59_SAL-NIEUWEWTR-BO,Ptot,Fosfor totaal,Goed,Nieuwe Wetering (bovenloop),6.22,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-NIEUWEWTR-BO.Nanorg,2021,NL59_SAL-NIEUWEWTR-BO,Nanorg,DIN,Niet van toepassing,Nieuwe Wetering (bovenloop),6.22,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-NIEUWEWTR-BO.Ntot,2021,NL59_SAL-NIEUWEWTR-BO,Ntot,Stikstof totaal,Goed,Nieuwe Wetering (bovenloop),6.22,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-SOESTWTR-BE.Ptot,2021,NL59_SAL-SOESTWTR-BE,Ptot,Fosfor totaal,Goed,Soestwetering (benedenloop),30.13,,Rijn,Rivier,R6,Langzaam stromend riviertje op zand/klei,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-SOESTWTR-BE.Ntot,2021,NL59_SAL-SOESTWTR-BE,Ntot,Stikstof totaal,Goed,Soestwetering (benedenloop),30.13,,Rijn,Rivier,R6,Langzaam stromend riviertje op zand/klei,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-SOESTWTR-BE.Nanorg,2021,NL59_SAL-SOESTWTR-BE,Nanorg,DIN,Niet van toepassing,Soestwetering (benedenloop),30.13,,Rijn,Rivier,R6,Langzaam stromend riviertje op zand/klei,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-SOESTWTR-BO.Nanorg,2021,NL59_SAL-SOESTWTR-BO,Nanorg,DIN,Niet van toepassing,Soestwetering (bovenloop),8.67,,Rijn,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-SOESTWTR-BO.Ntot,2021,NL59_SAL-SOESTWTR-BO,Ntot,Stikstof totaal,Goed,Soestwetering (bovenloop),8.67,,Rijn,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-SOESTWTR-BO.Ptot,2021,NL59_SAL-SOESTWTR-BO,Ptot,Fosfor totaal,Matig,Soestwetering (bovenloop),8.67,,Rijn,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-SOESTWTR-MIDDEN.Ntot,2021,NL59_SAL-SOESTWTR-MIDDEN,Ntot,Stikstof totaal,Goed,Soestwetering (middenloop),7.42,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-SOESTWTR-MIDDEN.Ptot,2021,NL59_SAL-SOESTWTR-MIDDEN,Ptot,Fosfor totaal,Goed,Soestwetering (middenloop),7.42,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-SOESTWTR-MIDDEN.Nanorg,2021,NL59_SAL-SOESTWTR-MIDDEN,Nanorg,DIN,Niet van toepassing,Soestwetering (middenloop),7.42,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-ZANDWETERING.Nanorg,2021,NL59_SAL-ZANDWETERING,Nanorg,DIN,Niet van toepassing,Zandwetering,21.04,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-ZANDWETERING.Ntot,2021,NL59_SAL-ZANDWETERING,Ntot,Stikstof totaal,Goed,Zandwetering,21.04,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_SAL-ZANDWETERING.Ptot,2021,NL59_SAL-ZANDWETERING,Ptot,Fosfor totaal,Goed,Zandwetering,21.04,,Rijn,Rivier,R20,Moerasbeek,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_STEEN-WETERING.Ptot,2021,NL59_STEEN-WETERING,Ptot,Fosfor totaal,Goed,Steenwetering,,0.01016,Rijn,Meer,M10,Laagveen vaarten en kanalen,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_STEEN-WETERING.Nanorg,2021,NL59_STEEN-WETERING,Nanorg,DIN,Niet van toepassing,Steenwetering,,0.01016,Rijn,Meer,M10,Laagveen vaarten en kanalen,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_STEEN-WETERING.Ntot,2021,NL59_STEEN-WETERING,Ntot,Stikstof totaal,Goed,Steenwetering,,0.01016,Rijn,Meer,M10,Laagveen vaarten en kanalen,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_STOUWE-LEIDING.Nanorg,2021,NL59_STOUWE-LEIDING,Nanorg,DIN,Niet van toepassing,Stouwe,,0.00837,Rijn,Meer,M1a,Zoete gebufferde sloten,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_STOUWE-LEIDING.Ptot,2021,NL59_STOUWE-LEIDING,Ptot,Fosfor totaal,Goed,Stouwe,,0.00837,Rijn,Meer,M1a,Zoete gebufferde sloten,59,Waterschap Drents Overijsselse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL59_STOUWE-LEIDING.Ntot,2021,NL59_STOUWE-LEIDING,Ntot,Stikstof totaal,Goed,Stouwe,,0.00837,Rijn,Meer,M1a,Zoete gebufferde sloten,59,Waterschap Drents Overijsselse Delta
